side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
-1,2021-01-15 15:05:00,2021-01-15 15:15:00,1.21171,1.2125039285714287,sl,-1000.0,2,A_5m_30m_1h,short
-1,2021-01-15 15:50:00,2021-01-15 16:00:00,1.2121,1.2107321428571427,tp,1649.9999999999106,2,A_5m_30m_1h,short
-1,2021-01-15 18:20:00,2021-01-15 18:25:00,1.20875,1.2097957142857143,sl,-1006.4999999999992,1,A_5m_30m_1h,short
-1,2021-01-15 18:55:00,2021-01-15 20:30:00,1.20956,1.2081832142857143,tp,1660.72499999982,19,A_5m_30m_1h,short
-1,2021-01-15 21:40:00,2021-01-18 01:20:00,1.20808,1.2085171428571428,sl,-1013.0422499999974,43,A_5m_30m_1h,short
-1,2021-01-18 02:55:00,2021-01-18 03:45:00,1.20743,1.2079914285714286,sl,-1002.9118274999973,10,A_5m_30m_1h,short
-1,2021-01-18 04:10:00,2021-01-18 04:30:00,1.20764,1.20812,sl,-992.8827092249974,4,A_5m_30m_1h,short
-1,2021-01-18 06:25:00,2021-01-18 07:35:00,1.20693,1.2073585714285715,sl,-982.9538821327474,14,A_5m_30m_1h,short
-1,2021-01-18 10:55:00,2021-01-18 12:30:00,1.2072,1.2059125,tp,1621.8739055190333,19,A_5m_30m_1h,short
-1,2021-01-18 21:00:00,2021-01-18 21:05:00,1.20733,1.2076385714285713,sl,-989.3430823666104,1,A_5m_30m_1h,short
-1,2021-01-19 00:00:00,2021-01-19 02:00:00,1.2076200000000001,1.2079039285714286,sl,-979.4496515429443,24,A_5m_30m_1h,short
1,2021-01-19 10:45:00,2021-01-19 11:00:00,1.2117,1.2107164285714285,sl,-969.6551550275148,3,A_5m_30m_1h,long
1,2021-01-19 11:25:00,2021-01-19 12:05:00,1.2112699999999998,1.2126074999999998,tp,1599.9310057953107,8,A_5m_30m_1h,long
1,2021-01-19 12:45:00,2021-01-19 15:45:00,1.21295,1.2140964285714286,tp,1626.5965225590744,36,A_5m_30m_1h,long
1,2021-01-19 21:10:00,2021-01-19 21:50:00,1.2121899999999999,1.2127882142857143,tp,1653.7064646019198,8,A_5m_30m_1h,long
1,2021-01-19 22:35:00,2021-01-19 22:55:00,1.2127,1.2123282142857141,sl,-1008.7609434068027,4,A_5m_30m_1h,long
1,2021-01-20 00:15:00,2021-01-20 01:05:00,1.2126299999999999,1.213040714285714,tp,1664.4555566209242,10,A_5m_30m_1h,long
