label,n,win_rate,avg_R,median_R,profit_factor,expectancy_R,total_R,max_dd_R,total_pips,avg_pips,target_hits,stop_hits,be_hits,time_exits,long_n,short_n,long_wr,short_wr,avg_risk_pips,avg_bars
EURUSD|5min|all,946,34.56659619450317,-0.10555873017038488,-0.0313725490197193,0.5169580045671671,-0.10555873017038488,-99.8585587411841,100.72409642799339,-946.5000000003208,-1.0005285412265548,7,83,121,735,463,483,33.261339092872575,35.81780538302277,9.458773784355074,4.524312896405919
GBPUSD|5min|all,992,23.387096774193548,-0.16975577591629434,0.0,0.375715024386453,-0.16975577591629434,-168.397729708964,168.67689637563046,-1823.7000000002945,-1.838407258064813,14,164,285,529,517,475,23.984526112185687,22.736842105263158,10.53618951612938,3.8659274193548385
EURUSD|5min|london_ny,553,32.730560578661844,-0.1221929575246866,0.0,0.49864936285519734,-0.1221929575246866,-67.5727055111517,68.43824319796107,-680.0000000001804,-1.2296564195301636,5,68,111,369,279,274,32.97491039426524,32.481751824817515,10.172513562387197,4.269439421338156
GBPUSD|5min|london_ny,599,16.026711185308848,-0.21109320929631945,0.0,0.27721524445626067,-0.21109320929631945,-126.44483236849536,127.4114990351621,-1433.6000000001925,-2.3933222036731094,8,125,231,235,314,285,18.152866242038215,13.684210526315791,11.23255425709578,3.4257095158597664
EURUSD|5min|london,401,28.428927680798004,-0.1516039302199163,0.0,0.4527516486619838,-0.1516039302199163,-60.79317601818644,61.314009351519786,-625.5000000001231,-1.559850374065145,5,64,95,237,200,201,27.0,29.850746268656714,10.448628428928002,4.1197007481296755
GBPUSD|5min|london,425,12.705882352941176,-0.2162418763102332,0.0,0.27669126026600477,-0.2162418763102332,-91.90279743184911,92.86946409851575,-1067.4000000001095,-2.5115294117649634,8,102,197,118,221,204,13.574660633484163,11.76470588235294,11.540705882353688,3.0941176470588236
EURUSD|5min|ny,338,33.43195266272189,-0.1374326708952224,0.0,0.43033803265340886,-0.1374326708952224,-46.45224276258517,47.67355772815262,-470.30000000010784,-1.3914201183435144,2,42,67,227,184,154,36.95652173913043,29.22077922077922,10.17248520710081,4.2514792899408285
GBPUSD|5min|ny,358,18.156424581005588,-0.20984208028868734,0.0,0.2553381146156568,-0.20984208028868734,-75.12346474335007,77.45781569711156,-835.8000000001264,-2.334636871508733,3,70,127,158,191,167,19.895287958115183,16.16766467065868,11.06955307262625,3.5446927374301676
EURUSD|1min|all,3085,41.102106969205835,-0.061773086731726566,-0.03749999999997224,0.737453828167547,-0.061773086731726566,-190.56997256737645,197.08847283155902,-1537.750000000815,-0.4984602917344619,85,330,156,2514,1553,1532,41.2105602060528,40.992167101827675,8.162755267422252,19.494651539708265
GBPUSD|1min|all,3329,35.20576749774707,-0.09177533246231105,0.0,0.6975710835959203,-0.09177533246231105,-305.5200817670335,307.5554150001061,-2731.1000000006748,-0.8203965154703138,194,672,477,1985,1671,1658,34.47037701974865,35.94692400482509,8.707329528386445,17.07449684589967
