side,horizon_m1,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
long,5,690,46.95652173913044,0.0019180571270844833,-0.0008582661648682519,0.020904015141250353,0.018065886565124038,50.57971014492754,49.42028985507246,EURUSD,abc_only,2,3
short,5,839,44.69606674612634,-0.002149494997275198,-0.0017231278216330967,0.018314969753273076,0.020414886443055155,49.582836710369484,50.417163289630516,EURUSD,abc_only,2,3
any,5,1529,45.71615434924787,-0.0003139090157132752,-0.000924120468329788,0.01948334209971148,0.019354840716585258,50.0327011118378,49.9672988881622,EURUSD,abc_only,2,3
long,10,690,45.21739130434783,0.000989862485186615,-0.0022331012551501405,0.028379152555085937,0.026089265125169896,50.57971014492754,49.42028985507246,EURUSD,abc_only,2,3
short,10,839,47.794994040524436,-0.0005656151204982813,-0.0009197685862297318,0.02603051762471304,0.028095253965839208,49.582836710369484,50.417163289630516,EURUSD,abc_only,2,3
any,10,1529,46.63178548070634,0.0001363335700985654,-0.0017307475964163988,0.027090398659348296,0.027190000662986477,50.0327011118378,49.9672988881622,EURUSD,abc_only,2,3
long,20,690,47.391304347826086,0.000736437071404057,-0.000937646013201127,0.03940376625702983,0.03776916933750452,50.57971014492754,49.42028985507246,EURUSD,abc_only,2,3
short,20,839,48.152562574493444,-0.0002816065301006703,-0.0008986583031592792,0.03819867387050025,0.03775453002469526,49.582836710369484,50.417163289630516,EURUSD,abc_only,2,3
any,20,1529,47.80902550686723,0.0001778114457255313,-0.0009059283954255611,0.038742502351013924,0.037761136385609836,50.0327011118378,49.9672988881622,EURUSD,abc_only,2,3
long,30,690,47.53623188405797,-0.002054984721180208,-0.0018754582616885849,0.04637822056132302,0.04564358482731426,50.57971014492754,49.42028985507246,EURUSD,abc_only,2,3
short,30,839,46.12634088200238,-0.0020209495031212553,-0.0036570091150988767,0.04618498117377513,0.045829044364904765,49.582836710369484,50.417163289630516,EURUSD,abc_only,2,3
any,30,1529,46.76258992805755,-0.0020363087578372002,-0.0027941806530907823,0.046272185344741805,0.04574535104839892,50.0327011118378,49.9672988881622,EURUSD,abc_only,2,3
long,60,690,49.275362318840585,0.0018265381809565377,0.0,0.06556102735210673,0.064739108354248,50.57971014492754,49.42028985507246,EURUSD,abc_only,2,3
short,60,839,46.96066746126341,-0.0029936955253442536,-0.005034824200717378,0.06556846127558083,0.0655973584412563,49.582836710369484,50.417163289630516,EURUSD,abc_only,2,3
any,60,1529,48.005232177894044,-0.000818442904449848,-0.0025326500806205406,0.06556510652921253,0.06521005133855144,50.0327011118378,49.9672988881622,EURUSD,abc_only,2,3
long,5,2,0.0,-0.006772458237963555,-0.006772458237963555,0.006376249744954028,0.009284458371522895,50.0,50.0,EURUSD,abc_only,3,3
short,5,1,100.0,0.04260797880715304,0.04260797880715304,0.09725734292939074,0.0,100.0,0.0,EURUSD,abc_only,3,3
any,5,3,33.33333333333333,0.009687687443741974,-0.0024927502513501973,0.0366699474730996,0.006189638914348597,66.66666666666667,33.333333333333336,EURUSD,abc_only,3,3
long,10,2,50.0,-0.0005405826095788366,-0.0005405826095788366,0.012192666998110639,0.010559708320511813,50.0,50.0,EURUSD,abc_only,3,3
short,10,1,100.0,0.052796843304522875,0.052796843304522875,0.09725734292939074,0.0,100.0,0.0,EURUSD,abc_only,3,3
any,10,3,66.66666666666666,0.017238559361788402,0.00997100100541924,0.040547558975204005,0.007039805547007875,66.66666666666667,33.333333333333336,EURUSD,abc_only,3,3
long,20,2,50.0,0.0031792928852373186,0.0031792928852373186,0.01676270912559215,0.013110208218499087,50.0,50.0,EURUSD,abc_only,3,3
short,20,1,100.0,0.030566593492088946,0.030566593492088946,0.09725734292939074,0.0,100.0,0.0,EURUSD,abc_only,3,3
any,20,3,66.66666666666666,0.012308393087521192,0.019111085260363814,0.04359425372685835,0.008740138812332725,66.66666666666667,33.333333333333336,EURUSD,abc_only,3,3
long,30,2,50.0,-0.007061206471101958,-0.007061206471101958,0.01800908425126725,0.021186791228765378,50.0,50.0,EURUSD,abc_only,3,3
short,30,1,100.0,0.02130398940357652,0.02130398940357652,0.09725734292939074,0.0,100.0,0.0,EURUSD,abc_only,3,3
any,30,3,66.66666666666666,0.002393858820457534,0.02130398940357652,0.04442517047730841,0.014124527485843585,66.66666666666667,33.333333333333336,EURUSD,abc_only,3,3
long,60,2,100.0,0.03037500018925158,0.03037500018925158,0.04306012509141788,0.021611874545098164,50.0,50.0,EURUSD,abc_only,3,3
short,60,1,100.0,0.01667268735933059,0.01667268735933059,0.09725734292939074,0.0,100.0,0.0,EURUSD,abc_only,3,3
any,60,3,100.0,0.02580756257927792,0.01994200201082003,0.06112586437074217,0.014407916363398776,66.66666666666667,33.333333333333336,EURUSD,abc_only,3,3
long,5,690,46.95652173913044,0.0019180571270844833,-0.0008582661648682519,0.020904015141250353,0.018065886565124038,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
any,5,690,46.95652173913044,0.0019180571270844833,-0.0008582661648682519,0.020904015141250353,0.018065886565124038,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
long,10,690,45.21739130434783,0.000989862485186615,-0.0022331012551501405,0.028379152555085937,0.026089265125169896,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
any,10,690,45.21739130434783,0.000989862485186615,-0.0022331012551501405,0.028379152555085937,0.026089265125169896,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
long,20,690,47.391304347826086,0.000736437071404057,-0.000937646013201127,0.03940376625702983,0.03776916933750452,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
any,20,690,47.391304347826086,0.000736437071404057,-0.000937646013201127,0.03940376625702983,0.03776916933750452,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
long,30,690,47.53623188405797,-0.002054984721180208,-0.0018754582616885849,0.04637822056132302,0.04564358482731426,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
any,30,690,47.53623188405797,-0.002054984721180208,-0.0018754582616885849,0.04637822056132302,0.04564358482731426,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
long,60,690,49.275362318840585,0.0018265381809565377,0.0,0.06556102735210673,0.064739108354248,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
any,60,690,49.275362318840585,0.0018265381809565377,0.0,0.06556102735210673,0.064739108354248,50.57971014492754,49.42028985507246,EURUSD,abc_only_longOnly,2,3
long,5,2,0.0,-0.006772458237963555,-0.006772458237963555,0.006376249744954028,0.009284458371522895,50.0,50.0,EURUSD,abc_only_longOnly,3,3
any,5,2,0.0,-0.006772458237963555,-0.006772458237963555,0.006376249744954028,0.009284458371522895,50.0,50.0,EURUSD,abc_only_longOnly,3,3
long,10,2,50.0,-0.0005405826095788366,-0.0005405826095788366,0.012192666998110639,0.010559708320511813,50.0,50.0,EURUSD,abc_only_longOnly,3,3
any,10,2,50.0,-0.0005405826095788366,-0.0005405826095788366,0.012192666998110639,0.010559708320511813,50.0,50.0,EURUSD,abc_only_longOnly,3,3
long,20,2,50.0,0.0031792928852373186,0.0031792928852373186,0.01676270912559215,0.013110208218499087,50.0,50.0,EURUSD,abc_only_longOnly,3,3
any,20,2,50.0,0.0031792928852373186,0.0031792928852373186,0.01676270912559215,0.013110208218499087,50.0,50.0,EURUSD,abc_only_longOnly,3,3
long,30,2,50.0,-0.007061206471101958,-0.007061206471101958,0.01800908425126725,0.021186791228765378,50.0,50.0,EURUSD,abc_only_longOnly,3,3
any,30,2,50.0,-0.007061206471101958,-0.007061206471101958,0.01800908425126725,0.021186791228765378,50.0,50.0,EURUSD,abc_only_longOnly,3,3
long,60,2,100.0,0.03037500018925158,0.03037500018925158,0.04306012509141788,0.021611874545098164,50.0,50.0,EURUSD,abc_only_longOnly,3,3
any,60,2,100.0,0.03037500018925158,0.03037500018925158,0.04306012509141788,0.021611874545098164,50.0,50.0,EURUSD,abc_only_longOnly,3,3
long,5,3600,54.333333333333336,0.0040919435216735045,0.0025618255027373667,0.021381998955432965,0.017078319311852996,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research,2,10
short,5,2715,56.86924493554327,0.004887995742816445,0.0033974892554436277,0.02147874367283999,0.015527130469022344,55.50644567219153,44.41988950276243,EURUSD,abc_plus_research,2,10
any,5,6315,55.423594615993665,0.004434189250953486,0.0027460456941980167,0.02142359228999513,0.01641141864545787,54.28345209817894,45.684877276326205,EURUSD,abc_plus_research,2,10
long,10,3600,55.02777777777778,0.005428728047784824,0.003533054336212111,0.030719645647380563,0.024266897845203278,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research,2,10
short,10,2715,60.294659300184165,0.008819325146785562,0.006455837460459333,0.03113966520516587,0.02086915175249201,55.58011049723757,44.41988950276243,EURUSD,abc_plus_research,2,10
any,10,6315,57.29216152019002,0.006886443190110557,0.00465259102795328,0.03090022412709349,0.0228061091450115,54.315122723673795,45.684877276326205,EURUSD,abc_plus_research,2,10
long,20,3600,55.69444444444444,0.007890911897413144,0.005125532905069063,0.04422831138101292,0.03447613616834241,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research,2,10
short,20,2715,60.331491712707184,0.01234496828239646,0.009084077264192423,0.04520239089515901,0.02836270030037937,55.58011049723757,44.41988950276243,EURUSD,abc_plus_research,2,10
any,20,6315,57.688044338875685,0.009805838751764641,0.0067150791899709805,0.044647096160253884,0.03184779438187849,54.315122723673795,45.684877276326205,EURUSD,abc_plus_research,2,10
long,30,3600,55.611111111111114,0.008138893429099445,0.0055173958325008205,0.05341582219739955,0.041923824225459046,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research,2,10
short,30,2715,57.53222836095764,0.011742249703416993,0.008599931200549448,0.05509872125846533,0.035543301748715915,55.58011049723757,44.41988950276243,EURUSD,abc_plus_research,2,10
any,30,6315,56.43705463182898,0.009688079855825042,0.006645787816616132,0.05413934887210954,0.0391806542295196,54.315122723673795,45.684877276326205,EURUSD,abc_plus_research,2,10
