side,H,n,hit,mean,med,symbol,agent
long,5,9079,47.93479458090098,-0.001069567967960397,-0.0009290658242991098,EURUSD,bb_rsi_sma_A
short,5,9617,46.51138608713736,-0.0015251704161080232,-0.0025748862758539605,EURUSD,bb_rsi_sma_A
any,5,18696,47.202610183996576,-0.001303924447626407,-0.00182781990746328,EURUSD,bb_rsi_sma_A
long,10,9079,48.44145831038661,-0.0015295091734462173,-0.0017006658106571355,EURUSD,bb_rsi_sma_A
short,10,9617,45.76271186440678,-0.002481892741374528,-0.004584926595334884,EURUSD,bb_rsi_sma_A
any,10,18696,47.063543003851095,-0.002019403951621579,-0.003316275878031933,EURUSD,bb_rsi_sma_A
long,20,9079,48.22116973234938,-0.0018273508938626436,-0.0027540369591736507,EURUSD,bb_rsi_sma_A
short,20,9617,46.74014765519392,-0.00252038879254364,-0.005453454763588099,EURUSD,bb_rsi_sma_A
any,20,18696,47.459349593495936,-0.002183841344847621,-0.004124970912638498,EURUSD,bb_rsi_sma_A
long,5,3554,46.93303320202589,-0.001123267149509302,-0.001862318775689835,EURUSD,bb_rsi_sma_B
short,5,3787,46.71243728545023,-0.0016894412856673674,-0.002774694783571448,EURUSD,bb_rsi_sma_B
any,5,7341,46.819234436725246,-0.0014153392723305243,-0.0025524311907069806,EURUSD,bb_rsi_sma_B
long,10,3554,48.25548677546427,-0.0018248151265854505,-0.000955416364350941,EURUSD,bb_rsi_sma_B
short,10,3786,46.43423137876387,-0.004057515081817859,-0.0036496609381708404,EURUSD,bb_rsi_sma_B
any,10,7340,47.316076294277934,-0.0029764502806058726,-0.002547857340995211,EURUSD,bb_rsi_sma_B
long,20,3554,48.84637028700056,-0.002119605937367163,-0.001683570367378881,EURUSD,bb_rsi_sma_B
short,20,3786,46.67194928684628,-0.005656944014097952,-0.0054769400038769366,EURUSD,bb_rsi_sma_B
any,20,7340,47.72479564032698,-0.003944178411277621,-0.003566048848746253,EURUSD,bb_rsi_sma_B
long,5,1661,47.38109572546659,-0.001351153590430104,-0.0017161784139191527,EURUSD,bb_rsi_sma_C
short,5,1975,45.164556962025316,-0.0009169655140060211,-0.004213613341975466,EURUSD,bb_rsi_sma_C
any,5,3636,46.177117711771174,-0.001115311607223954,-0.002814718851582694,EURUSD,bb_rsi_sma_C
long,10,1661,48.464780252859725,-0.004247562448214041,-0.001716443529000084,EURUSD,bb_rsi_sma_C
short,10,1975,47.69620253164557,-0.00015819165755145924,-0.0019406924390749714,EURUSD,bb_rsi_sma_C
any,10,3636,48.047304730473044,-0.0020263008113717423,-0.0018332606465485664,EURUSD,bb_rsi_sma_C
long,20,1661,48.64539434075858,-0.005321806597757326,-0.0018342733984416915,EURUSD,bb_rsi_sma_C
short,20,1975,46.53164556962025,-0.002395087793787996,-0.006184729020516911,EURUSD,bb_rsi_sma_C
any,20,3636,47.4972497249725,-0.003732073474039112,-0.004425168378082792,EURUSD,bb_rsi_sma_C
long,5,23,47.82608695652174,0.005073988389583782,0.0,EURUSD,dvmr_champ_1h_1d
short,5,20,55.00000000000001,0.009604801401418974,0.0034522064274164826,EURUSD,dvmr_champ_1h_1d
any,5,43,51.162790697674424,0.007181343278809454,0.0008826592758525135,EURUSD,dvmr_champ_1h_1d
long,10,23,52.17391304347826,-0.0004580108182898622,0.0034920468632723975,EURUSD,dvmr_champ_1h_1d
short,10,20,60.0,0.0012895976398274837,0.0065004886706826175,EURUSD,dvmr_champ_1h_1d
any,10,43,55.81395348837209,0.00035483032502053353,0.004552034304140122,EURUSD,dvmr_champ_1h_1d
long,20,23,60.86956521739131,0.04085149526044092,0.05250891269701983,EURUSD,dvmr_champ_1h_1d
short,20,20,55.00000000000001,-0.007726197715747783,0.003411260505894595,EURUSD,dvmr_champ_1h_1d
any,20,43,58.139534883720934,0.018257219457562455,0.024444328042887396,EURUSD,dvmr_champ_1h_1d
short,5,24,62.5,0.012124014717089356,0.010733468847756316,EURUSD,dvmr_30m_4h_v2
any,5,41,65.85365853658537,0.013399653117056477,0.01397558930402446,EURUSD,dvmr_30m_4h_v2
short,10,24,58.333333333333336,0.013073668147065601,0.0036165456705476474,EURUSD,dvmr_30m_4h_v2
any,10,41,60.97560975609756,0.01454190913285923,0.005512172714740375,EURUSD,dvmr_30m_4h_v2
short,20,24,75.0,0.05773071929490912,0.04816620026259243,EURUSD,dvmr_30m_4h_v2
any,20,41,70.73170731707317,0.05949311234689438,0.05628281142347235,EURUSD,dvmr_30m_4h_v2
long,5,23,47.82608695652174,0.005073988389583782,0.0,EURUSD,dvmr_champ_1h_1d_pulse
short,5,20,55.00000000000001,0.009604801401418974,0.0034522064274164826,EURUSD,dvmr_champ_1h_1d_pulse
any,5,43,51.162790697674424,0.007181343278809454,0.0008826592758525135,EURUSD,dvmr_champ_1h_1d_pulse
long,10,23,52.17391304347826,-0.0004580108182898622,0.0034920468632723975,EURUSD,dvmr_champ_1h_1d_pulse
short,10,20,60.0,0.0012895976398274837,0.0065004886706826175,EURUSD,dvmr_champ_1h_1d_pulse
any,10,43,55.81395348837209,0.00035483032502053353,0.004552034304140122,EURUSD,dvmr_champ_1h_1d_pulse
long,20,23,60.86956521739131,0.04085149526044092,0.05250891269701983,EURUSD,dvmr_champ_1h_1d_pulse
short,20,20,55.00000000000001,-0.007726197715747783,0.003411260505894595,EURUSD,dvmr_champ_1h_1d_pulse
any,20,43,58.139534883720934,0.018257219457562455,0.024444328042887396,EURUSD,dvmr_champ_1h_1d_pulse
long,5,658,49.69604863221885,0.0009519284611519632,0.0,EURUSD,mv_best_quality_30m_4h_long
any,5,658,49.69604863221885,0.0009519284611519632,0.0,EURUSD,mv_best_quality_30m_4h_long
long,10,658,53.03951367781154,0.005598900476852571,0.004927358923678729,EURUSD,mv_best_quality_30m_4h_long
any,10,658,53.03951367781154,0.005598900476852571,0.004927358923678729,EURUSD,mv_best_quality_30m_4h_long
long,20,658,51.671732522796354,0.006445170230380385,0.0028190787271939535,EURUSD,mv_best_quality_30m_4h_long
any,20,658,51.671732522796354,0.006445170230380385,0.0028190787271939535,EURUSD,mv_best_quality_30m_4h_long
long,5,1125,50.3111111111111,0.0006828736742628023,0.0008827527762632645,EURUSD,mv_strong4_30m_4h_long
any,5,1125,50.3111111111111,0.0006828736742628023,0.0008827527762632645,EURUSD,mv_strong4_30m_4h_long
long,10,1125,52.08888888888888,0.003719049663396943,0.0038524140189384677,EURUSD,mv_strong4_30m_4h_long
any,10,1125,52.08888888888888,0.003719049663396943,0.0038524140189384677,EURUSD,mv_strong4_30m_4h_long
long,20,1125,51.11111111111111,0.0019147606186493604,0.003717921310178549,EURUSD,mv_strong4_30m_4h_long
any,20,1125,51.11111111111111,0.0019147606186493604,0.003717921310178549,EURUSD,mv_strong4_30m_4h_long
long,5,940,51.276595744680854,0.002141398759290825,0.002550661686568462,EURUSD,mv_profit_30m_4h_both
short,5,686,47.95918367346938,-0.004032537604855318,-0.0018540845154675135,EURUSD,mv_profit_30m_4h_both
any,5,1626,49.8769987699877,-0.0004633493008593927,0.0,EURUSD,mv_profit_30m_4h_both
long,10,940,52.4468085106383,0.0023319297538563887,0.0037450113603955983,EURUSD,mv_profit_30m_4h_both
short,10,686,45.77259475218659,-0.009241848509286034,-0.0046155550002106634,EURUSD,mv_profit_30m_4h_both
any,10,1626,49.6309963099631,-0.002550980386682173,0.0,EURUSD,mv_profit_30m_4h_both
long,20,940,51.59574468085106,0.0036628248036123484,0.003821341808382641,EURUSD,mv_profit_30m_4h_both
short,20,686,45.626822157434404,-0.007887634146948583,-0.008588032788375353,EURUSD,mv_profit_30m_4h_both
any,20,1626,49.07749077490775,-0.0012102470537583767,-0.0012944107714707729,EURUSD,mv_profit_30m_4h_both
long,5,1605,62.80373831775701,0.015318009865823901,0.011193308436707386,EURUSD,agree_seA_r2A
short,5,1688,61.84834123222749,0.015089243162435297,0.011079722896705155,EURUSD,agree_seA_r2A
any,5,3293,62.31399939265108,0.015200743484007939,0.011106175033315405,EURUSD,agree_seA_r2A
long,10,1605,58.56697819314641,0.015241523920550802,0.010822803647275626,EURUSD,agree_seA_r2A
short,10,1688,57.28672985781991,0.013660353140591207,0.01017835694996733,EURUSD,agree_seA_r2A
any,10,3293,57.91071970847251,0.0144310118414218,0.010279893462927386,EURUSD,agree_seA_r2A
long,20,1605,56.199376947040506,0.014860836107933728,0.011530985405051142,EURUSD,agree_seA_r2A
short,20,1688,54.976303317535546,0.018007181487742045,0.010338796278821555,EURUSD,agree_seA_r2A
any,20,3293,55.57242635894322,0.016473660584434315,0.010930753675476855,EURUSD,agree_seA_r2A
long,5,740,64.86486486486487,0.01958215791585218,0.01440870114348311,EURUSD,agree_seA_r2A_atr
short,5,832,62.13942307692307,0.014635679588906814,0.011467849264091959,EURUSD,agree_seA_r2A_atr
any,5,1572,63.42239185750637,0.01696417447563682,0.012830132719097945,EURUSD,agree_seA_r2A_atr
long,10,740,59.45945945945946,0.01856617499865271,0.016119292582574385,EURUSD,agree_seA_r2A_atr
short,10,832,57.331730769230774,0.01449724661830613,0.011418099543068685,EURUSD,agree_seA_r2A_atr
any,10,1572,58.333333333333336,0.016412645474194472,0.012523769393541627,EURUSD,agree_seA_r2A_atr
long,20,740,56.351351351351354,0.016439250866053516,0.013647862923298969,EURUSD,agree_seA_r2A_atr
short,20,832,54.44711538461539,0.019085515180430276,0.010591813405079042,EURUSD,agree_seA_r2A_atr
any,20,1572,55.343511450381676,0.017839818238548088,0.01192894521671237,EURUSD,agree_seA_r2A_atr
long,5,1783,63.37633202467751,0.01591673122452638,0.01132068899456481,EURUSD,agree_2of_top4
short,5,1952,61.93647540983606,0.0153005267226929,0.01118691251763252,EURUSD,agree_2of_top4
any,5,3735,62.62382864792503,0.015594688068548081,0.011273321684245535,EURUSD,agree_2of_top4
long,10,1783,59.338194054963544,0.016174642797507056,0.011665679570699715,EURUSD,agree_2of_top4
short,10,1952,57.53073770491803,0.0134678993466196,0.010128917652055378,EURUSD,agree_2of_top4
any,10,3735,58.393574297188756,0.014760034172036555,0.01063000496067961,EURUSD,agree_2of_top4
long,20,1783,56.64610207515424,0.016706675501645583,0.012038281735921127,EURUSD,agree_2of_top4
short,20,1952,55.481557377049185,0.017534286181306816,0.011091049152964882,EURUSD,agree_2of_top4
any,20,3735,56.03748326639892,0.01713920456368005,0.011376132873222287,EURUSD,agree_2of_top4
long,5,1081,56.98427382053654,0.013595027805339376,0.006149413170287309,EURUSD,agree_seB_r2B_epB
short,5,1145,56.59388646288209,0.011751868752981816,0.0072694229895574735,EURUSD,agree_seB_r2B_epB
any,5,2226,56.78346810422282,0.01264695183276552,0.006583949436002715,EURUSD,agree_seB_r2B_epB
long,10,1081,61.79463459759482,0.02614391173548856,0.01533404253279453,EURUSD,agree_seB_r2B_epB
short,10,1145,56.15720524017467,0.01920196576255995,0.01027087087648386,EURUSD,agree_seB_r2B_epB
any,10,2226,58.894878706199464,0.02257314437744577,0.012280496118055172,EURUSD,agree_seB_r2B_epB
