side,horizon_5m,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
long,1,1473,46.77528852681602,0.00040196386875211633,-0.0008724557010674942,0.01936161872999222,0.018471528713234594,46.77528852681602,50.91649694501018,EURUSD,abc_only,2,3
short,1,1669,44.21809466746554,-0.00185423322796801,-0.001848343422219955,0.018869912695552982,0.0200933228992635,44.21809466746555,53.325344517675255,EURUSD,abc_only,2,3
any,1,3142,45.41693189051559,-0.0007965061994929156,-0.0009432241981873815,0.01910042924193395,0.019333010093400813,45.41693189051559,52.196053469127946,EURUSD,abc_only,2,3
long,2,1473,46.70739986422268,-0.0004973278048248295,-0.0009419743783030813,0.026605333372076385,0.02640752325015296,47.52206381534284,52.27427019687712,EURUSD,abc_only,2,3
short,2,1669,46.85440383463151,-0.001800817864752397,-0.0017307475964163988,0.025602860816856088,0.027554300707751275,44.99700419412822,54.8831635710006,EURUSD,abc_only,2,3
any,2,3142,46.78548695098663,-0.0011897291129149344,-0.0016888970285051743,0.02607282965003225,0.02701668034013755,46.18077657542966,53.66008911521324,EURUSD,abc_only,2,3
long,3,1473,47.52206381534283,-0.0014271260691158792,-0.0009525986892304442,0.03174907969069589,0.03244035892663934,47.657841140529534,52.342158859470466,EURUSD,abc_only,2,3
short,3,1669,46.43499101258238,-0.001958200255460144,-0.0020624297484887547,0.03101652823321955,0.03252165897090276,45.05692031156381,54.94307968843619,EURUSD,abc_only,2,3
any,3,3142,46.94462126034373,-0.0017092275385648219,-0.0018421982521950723,0.03135995544418793,0.03248354472354439,46.27625716104392,53.72374283895608,EURUSD,abc_only,2,3
long,5,1473,45.89273591310251,-0.0012779772182771579,-0.002740051330292591,0.0407400389813132,0.041847990589601085,47.657841140529534,52.342158859470466,EURUSD,abc_only,2,3
short,5,1669,44.27801078490114,-0.0034846400786344733,-0.004617785864023151,0.040459553199447926,0.042030011094169976,45.05692031156381,54.94307968843619,EURUSD,abc_only,2,3
any,5,3142,45.03500954805856,-0.0024501351794281308,-0.003728995392062986,0.04059104764778896,0.04194467812051307,46.27625716104392,53.72374283895608,EURUSD,abc_only,2,3
long,8,1473,47.1826205023761,-0.002438336796804853,-0.0027412280701731074,0.051315159122445574,0.05388555811914591,47.657841140529534,52.342158859470466,EURUSD,abc_only,2,3
short,8,1669,45.1168364289994,-0.004985738471402633,-0.0051526029232390105,0.05108729150006502,0.05407025129468273,45.05692031156381,54.94307968843619,EURUSD,abc_only,2,3
any,8,3142,46.08529598981541,-0.003791491919307621,-0.003689512901660909,0.05119411804613968,0.053983665347016985,46.27625716104392,53.72374283895608,EURUSD,abc_only,2,3
long,10,1473,47.58995247793619,-0.0022264188350967482,-0.0018312167519828437,0.057077828047739455,0.060792261944636,47.657841140529534,52.342158859470466,EURUSD,abc_only,2,3
short,10,1669,43.79868184541642,-0.00783130377578934,-0.006653296708499343,0.05674754507513412,0.06100821042578646,45.05692031156381,54.94307968843619,EURUSD,abc_only,2,3
any,10,3142,45.57606619987269,-0.0052036794862794136,-0.004717184190997446,0.05690238492830015,0.060906971688442536,46.27625716104392,53.72374283895608,EURUSD,abc_only,2,3
long,15,1473,48.60828241683639,-0.002734722439074419,-0.0016780916741405219,0.07137095904082483,0.07450287192578513,47.657841140529534,52.342158859470466,EURUSD,abc_only,2,3
short,15,1669,42.60035949670461,-0.00938415377845612,-0.012369458041033822,0.06953798596481503,0.07605781312668705,45.05692031156381,54.94307968843619,EURUSD,abc_only,2,3
any,15,3142,45.41693189051559,-0.006266836030872018,-0.007052611325854153,0.07039730147753381,0.075328841647079,46.27625716104392,53.72374283895608,EURUSD,abc_only,2,3
long,20,1473,49.55872369314325,-0.0035985383504342394,0.0,0.08221410405481586,0.08667972501718436,47.657841140529534,52.342158859470466,EURUSD,abc_only,2,3
short,20,1669,43.618933493109644,-0.009285592375123936,-0.010578957491809237,0.07973299027417169,0.08733457407926479,45.05692031156381,54.94307968843619,EURUSD,abc_only,2,3
any,20,3142,46.4035646085296,-0.0066194464240202045,-0.006183827655602027,0.0808961604202216,0.08702757450305713,46.27625716104392,53.72374283895608,EURUSD,abc_only,2,3
long,1,22,36.36363636363637,-0.0021591007178076425,-0.002555961296444022,0.018325384881239352,0.02260499502303578,36.36363636363637,59.09090909090909,EURUSD,abc_only,3,3
short,1,22,59.09090909090909,0.0065117340244480884,0.003698887333955337,0.024115244379993243,0.017178252995399015,59.09090909090909,40.90909090909091,EURUSD,abc_only,3,3
any,1,44,47.72727272727273,0.002176316653320224,-0.00046367564961262274,0.021220314630616303,0.01989162400921739,47.72727272727273,50.0,EURUSD,abc_only,3,3
long,2,22,50.0,0.0035484480008578416,0.0009004141712245153,0.032831934842886795,0.0282009830657512,36.36363636363637,63.63636363636363,EURUSD,abc_only,3,3
short,2,22,54.54545454545454,0.014428101432096729,0.003271813316041596,0.03857714241384079,0.02265088050305724,59.09090909090909,40.90909090909091,EURUSD,abc_only,3,3
any,2,44,52.27272727272727,0.008988274716477286,0.002245889458135899,0.035704538628363786,0.025425931784404218,47.72727272727273,52.27272727272727,EURUSD,abc_only,3,3
long,3,22,50.0,0.007059256401840725,-2.7356724057549513e-05,0.037217277385027774,0.03165441343545022,36.36363636363637,63.63636363636363,EURUSD,abc_only,3,3
short,3,22,59.09090909090909,0.016963464463691864,0.01142971765632967,0.04493661784954192,0.02551476002594487,59.09090909090909,40.90909090909091,EURUSD,abc_only,3,3
any,3,44,54.54545454545454,0.012011360432766292,0.008160842861610217,0.041076947617284844,0.02858458673069754,47.72727272727273,52.27272727272727,EURUSD,abc_only,3,3
long,5,22,50.0,0.009748003645448174,-0.00011572773182253349,0.04386018242163478,0.035242064745799155,36.36363636363637,63.63636363636363,EURUSD,abc_only,3,3
short,5,22,50.0,0.009082541398210082,0.0014363787241898096,0.04857009796547191,0.03458654149578736,59.09090909090909,40.90909090909091,EURUSD,abc_only,3,3
any,5,44,50.0,0.009415272521829134,0.0014363787241898096,0.04621514019355333,0.03491430312079325,47.72727272727273,52.27272727272727,EURUSD,abc_only,3,3
