<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.06	01:00:00	4449.00	4450.78	4449.00	4450.30	53	0	44
2026.01.06	01:01:00	4450.30	4454.09	4450.30	4453.43	157	0	44
2026.01.06	01:02:00	4453.43	4454.30	4451.02	4451.63	135	0	44
2026.01.06	01:03:00	4451.63	4453.16	4451.39	4453.15	89	0	44
2026.01.06	01:04:00	4453.16	4455.03	4453.16	4454.66	90	0	39
2026.01.06	01:05:00	4454.75	4455.04	4454.08	4454.69	144	0	4
2026.01.06	01:06:00	4454.69	4454.69	4453.09	4454.07	94	0	4
2026.01.06	01:07:00	4454.07	4454.88	4453.60	4454.03	117	0	4
2026.01.06	01:08:00	4454.03	4454.67	4453.47	4454.45	115	0	4
2026.01.06	01:09:00	4454.45	4458.22	4454.24	4457.63	209	0	4
2026.01.06	01:10:00	4457.64	4460.12	4456.64	4456.90	509	0	4
2026.01.06	01:11:00	4456.82	4456.90	4454.06	4456.54	437	0	4
2026.01.06	01:12:00	4456.56	4456.56	4454.15	4454.29	240	0	4
2026.01.06	01:13:00	4454.29	4455.18	4453.78	4453.88	179	0	4
2026.01.06	01:14:00	4453.88	4454.07	4451.42	4451.55	238	0	4
2026.01.06	01:15:00	4451.53	4451.64	4449.79	4451.27	200	0	4
2026.01.06	01:16:00	4451.27	4451.27	4450.39	4450.70	186	0	4
2026.01.06	01:17:00	4450.70	4450.70	4448.67	4450.41	295	0	4
2026.01.06	01:18:00	4450.41	4453.44	4450.28	4453.25	313	0	4
2026.01.06	01:19:00	4453.25	4453.49	4451.57	4451.92	270	0	4
2026.01.06	01:20:00	4451.92	4452.96	4451.61	4452.71	244	0	4
2026.01.06	01:21:00	4452.71	4453.25	4452.04	4452.71	198	0	4
2026.01.06	01:22:00	4452.72	4453.13	4452.44	4452.47	175	0	5
2026.01.06	01:23:00	4452.48	4452.90	4452.15	4452.27	135	0	4
2026.01.06	01:24:00	4452.27	4452.27	4450.58	4450.59	186	0	4
2026.01.06	01:25:00	4450.59	4451.02	4449.89	4450.33	222	0	4
2026.01.06	01:26:00	4450.33	4450.60	4449.57	4449.69	187	0	4
2026.01.06	01:27:00	4449.70	4450.35	4449.69	4450.34	118	0	11
2026.01.06	01:28:00	4450.34	4450.36	4449.00	4449.19	137	0	4
2026.01.06	01:29:00	4449.19	4449.68	4448.64	4448.94	196	0	4
2026.01.06	01:30:00	4448.94	4450.30	4448.67	4449.74	392	0	4
2026.01.06	01:31:00	4449.74	4450.23	4444.38	4444.38	274	0	4
2026.01.06	01:32:00	4444.36	4445.56	4438.71	4441.73	566	0	4
2026.01.06	01:33:00	4441.73	4441.73	4439.98	4440.21	349	0	4
2026.01.06	01:34:00	4440.21	4442.35	4440.21	4441.20	326	0	4
2026.01.06	01:35:00	4441.20	4443.48	4441.20	4443.06	352	0	4
2026.01.06	01:36:00	4443.06	4445.26	4443.06	4444.95	292	0	4
2026.01.06	01:37:00	4444.97	4446.31	4444.58	4446.31	213	0	4
2026.01.06	01:38:00	4446.27	4446.31	4443.38	4443.77	236	0	4
2026.01.06	01:39:00	4443.80	4444.53	4442.08	4443.95	316	0	4
2026.01.06	01:40:00	4443.95	4444.20	4442.67	4444.18	219	0	4
2026.01.06	01:41:00	4444.18	4444.74	4443.16	4444.44	198	0	4
2026.01.06	01:42:00	4444.44	4444.66	4443.08	4443.25	133	0	4
2026.01.06	01:43:00	4443.25	4443.40	4441.99	4442.12	164	0	4
2026.01.06	01:44:00	4442.12	4443.23	4441.60	4442.96	161	0	4
2026.01.06	01:45:00	4442.95	4444.07	4441.63	4442.59	249	0	4
2026.01.06	01:46:00	4442.59	4443.74	4441.11	4441.17	151	0	4
2026.01.06	01:47:00	4441.17	4441.26	4439.94	4440.76	215	0	4
2026.01.06	01:48:00	4440.76	4441.61	4440.55	4441.51	113	0	4
2026.01.06	01:49:00	4441.51	4441.77	4441.23	4441.26	85	0	4
2026.01.06	01:50:00	4441.26	4441.26	4440.62	4440.98	92	0	4
2026.01.06	01:51:00	4440.98	4440.98	4439.09	4439.09	213	0	4
2026.01.06	01:52:00	4439.09	4440.26	4439.09	4439.38	176	0	4
2026.01.06	01:53:00	4439.38	4440.37	4439.14	4439.88	145	0	4
2026.01.06	01:54:00	4439.88	4439.90	4439.15	4439.48	142	0	4
2026.01.06	01:55:00	4439.49	4441.07	4439.05	4439.52	176	0	4
2026.01.06	01:56:00	4439.52	4440.26	4436.91	4440.15	245	0	4
2026.01.06	01:57:00	4440.29	4441.83	4439.75	4441.19	370	0	4
2026.01.06	01:58:00	4441.35	4441.68	4440.60	4441.05	362	0	4
2026.01.06	01:59:00	4441.05	4441.19	4440.14	4440.52	256	0	4
2026.01.06	02:00:00	4440.52	4441.16	4436.82	4438.53	463	0	4
2026.01.06	02:01:00	4438.53	4439.17	4436.62	4437.50	400	0	4
2026.01.06	02:02:00	4437.50	4439.21	4436.91	4437.96	247	0	4
2026.01.06	02:03:00	4437.96	4438.79	4437.23	4438.67	199	0	4
2026.01.06	02:04:00	4438.67	4440.35	4437.94	4440.12	210	0	4
2026.01.06	02:05:00	4440.12	4440.34	4436.88	4437.17	230	0	4
2026.01.06	02:06:00	4437.17	4439.04	4437.16	4438.42	142	0	4
2026.01.06	02:07:00	4438.42	4439.95	4438.25	4438.99	156	0	4
