side,threshold,n,n_decided,favor_n,adverse_n,none_n,favor_pct,adverse_pct,favor_given_touch,median_bars_favor,median_bars_adverse,thr_price,symbol,set,ltf
long,5,9761,9761,4518,5243,0,46.286241163815184,53.713758836184816,46.286241163815184,4.0,5.0,0.0005,EURUSD,A_5m_30m_1h,5min
short,5,10365,10365,5076,5289,0,48.97250361794501,51.02749638205499,48.97250361794501,4.0,5.0,0.0005,EURUSD,A_5m_30m_1h,5min
any,5,20126,20126,9594,10532,0,47.66968100963927,52.33031899036073,47.66968100963927,4.0,5.0,0.0005,EURUSD,A_5m_30m_1h,5min
long,10,9761,9751,4656,5095,10,47.70003073455589,52.19752074582522,47.74894882576146,16.0,16.0,0.001,EURUSD,A_5m_30m_1h,5min
short,10,10365,10350,5055,5295,15,48.769898697539794,51.085383502170764,48.84057971014493,16.0,17.0,0.001,EURUSD,A_5m_30m_1h,5min
any,10,20126,20101,9711,10390,25,48.25101858292756,51.62476398688264,48.31102930202478,16.0,17.0,0.001,EURUSD,A_5m_30m_1h,5min
long,20,9761,8968,4354,4614,793,44.606085442065364,47.26974695215654,48.550401427297054,49.0,49.0,0.002,EURUSD,A_5m_30m_1h,5min
short,20,10365,9495,4730,4765,870,45.63434635793536,45.97202122527737,49.81569246972091,50.0,54.0,0.002,EURUSD,A_5m_30m_1h,5min
any,20,20126,18463,9084,9379,1663,45.135645433767266,46.60141111000696,49.20110491252776,50.0,51.0,0.002,EURUSD,A_5m_30m_1h,5min
long,5,3554,3554,1599,1955,0,44.991558806978055,55.008441193021945,44.991558806978055,2.0,2.0,0.0005,EURUSD,B_15m_1h_4h,15min
short,5,3787,3787,1854,1933,0,48.95695801425931,51.04304198574069,48.95695801425931,2.0,2.0,0.0005,EURUSD,B_15m_1h_4h,15min
any,5,7341,7341,3453,3888,0,47.03718839395178,52.96281160604822,47.03718839395178,2.0,2.0,0.0005,EURUSD,B_15m_1h_4h,15min
long,10,3554,3554,1646,1908,0,46.31401238041643,53.68598761958357,46.31401238041643,6.0,6.0,0.001,EURUSD,B_15m_1h_4h,15min
short,10,3787,3785,1846,1939,2,48.74570900448904,51.20147874306839,48.77146631439894,6.0,6.0,0.001,EURUSD,B_15m_1h_4h,15min
any,10,7341,7339,3492,3847,2,47.56845116469146,52.40430459065522,47.58141436162965,6.0,6.0,0.001,EURUSD,B_15m_1h_4h,15min
long,20,3554,3551,1741,1810,3,48.987056837366346,50.92853123241418,49.02844269219938,20.0,20.0,0.002,EURUSD,B_15m_1h_4h,15min
short,20,3787,3778,1855,1923,9,48.98336414048059,50.77898072352786,49.10005293806247,21.0,21.0,0.002,EURUSD,B_15m_1h_4h,15min
any,20,7341,7329,3596,3733,12,48.98515188666394,50.85138264541616,49.06535680174649,20.5,20.0,0.002,EURUSD,B_15m_1h_4h,15min
