side,horizon,n,hit_rate,mean_ret,median_ret,mean_mfe,mean_mae,mfe_mae_ratio,p25,p75,symbol,set,ltf
long,1,9761,46.80872861387153,-0.0006986478601543145,-0.0008221520652513739,0.017284318585637594,0.01820052577098788,0.9496604000962025,-0.012125395241245323,0.010724052261872237,EURUSD,A_5m_30m_1h,5min
long,2,9761,47.24925724823276,-0.0007364553714676765,-0.0008837122986298493,0.025083855621511233,0.026169292107959735,0.95852251249401,-0.017434871578398424,0.015487632669794877,EURUSD,A_5m_30m_1h,5min
long,3,9760,48.07377049180328,-0.000730947339566295,-0.0008622064810472462,0.03133599674239255,0.03241372216445283,0.9667509514460455,-0.021876725775348303,0.019562047451701838,EURUSD,A_5m_30m_1h,5min
long,5,9760,48.17622950819672,-0.0006345928547178982,-0.0009188474130249802,0.0411873758555301,0.04213424678567814,0.9775272847533164,-0.02802626100504506,0.025113366008081037,EURUSD,A_5m_30m_1h,5min
long,8,9760,47.807377049180324,-0.0007826337106642526,-0.0017259276264330633,0.05263816443987104,0.05410198775411683,0.9729432618834896,-0.03507556988474514,0.03110082443357938,EURUSD,A_5m_30m_1h,5min
long,10,9760,48.41188524590164,-0.0010227820389291146,-0.0016958134693203309,0.059196924105536584,0.060597845621143884,0.976881661365227,-0.0410252441096806,0.035339409771674934,EURUSD,A_5m_30m_1h,5min
long,15,9760,48.15573770491803,-0.0009220867159640053,-0.0022386664018369043,0.07313161449722129,0.07457592441851854,0.9806330269110468,-0.04958126903864368,0.043626373158982046,EURUSD,A_5m_30m_1h,5min
long,20,9760,48.15573770491803,-0.0014672558222284502,-0.0027728118100275555,0.08453577575642116,0.08750954065209395,0.9660178207597341,-0.05740441515470759,0.05077682991658676,EURUSD,A_5m_30m_1h,5min
short,1,10365,45.875542691751086,-0.0007225380604209894,-0.0009187883019933583,0.017649889779867426,0.018138330066259003,0.973071375115167,-0.012954206878686534,0.01102732231166296,EURUSD,A_5m_30m_1h,5min
short,2,10365,46.41582247949832,-0.0006877228392964581,-0.0016982974567918293,0.02544101031953222,0.02583969253989025,0.9845709379187635,-0.01823769183771901,0.01574701038376423,EURUSD,A_5m_30m_1h,5min
short,3,10365,46.4447660395562,-0.001222425388626392,-0.0018429952358489277,0.0314448779330676,0.03184466665338601,0.987445661634021,-0.022326028714701428,0.019841098679288006,EURUSD,A_5m_30m_1h,5min
short,5,10365,46.71490593342981,-0.001354445377453449,-0.002476902880635944,0.04109272995251568,0.04122585272266563,0.9967708910463177,-0.028132033008248965,0.025186291709378285,EURUSD,A_5m_30m_1h,5min
short,8,10365,46.84032802701399,-0.0018128851864491944,-0.0027740277032876383,0.05196625547386823,0.0527654178797811,0.9848544285627824,-0.03574802747491995,0.03064012324139634,EURUSD,A_5m_30m_1h,5min
short,10,10365,45.952725518572116,-0.00210987636278612,-0.0042736869096870345,0.05821854504913163,0.059198873840408825,0.9834400770203837,-0.039663052921832136,0.03542363875346517,EURUSD,A_5m_30m_1h,5min
short,15,10365,46.57983598649301,-0.0029058551340225844,-0.004641922127124191,0.07174871779260529,0.0729041905019917,0.9841508053044653,-0.04888030952005073,0.04220947410832448,EURUSD,A_5m_30m_1h,5min
short,20,10365,46.91751085383502,-0.002223026931023047,-0.005227345989314345,0.08324706304836071,0.08372938392456772,0.994239526751546,-0.0561678774987799,0.04944168213664016,EURUSD,A_5m_30m_1h,5min
any,1,20126,46.32813276358939,-0.0007109514438651404,-0.0008619649635052862,0.017472589748719784,0.018168494643117723,0.9616971626946788,-0.012687276782316704,0.01095525237591783,EURUSD,A_5m_30m_1h,5min
any,2,20126,46.820033787141014,-0.000711357851048583,-0.0009315280427035477,0.02526779224304495,0.025999546528955447,0.9718551135076318,-0.017817186982745443,0.015615168878189058,EURUSD,A_5m_30m_1h,5min
any,3,20125,47.23478260869565,-0.000984073798125694,-0.0009626492106125788,0.03139207393699363,0.03212064090372203,0.9773177948437518,-0.022183732498327603,0.019715533023521897,EURUSD,A_5m_30m_1h,5min
any,5,20125,47.42360248447205,-0.001005339259595115,-0.0017185969374524362,0.041138630276163914,0.041666395632230964,0.9873335490613256,-0.028109500104280125,0.025134984174268522,EURUSD,A_5m_30m_1h,5min
any,8,20125,47.309316770186335,-0.0013132452160809444,-0.0018981635267791943,0.05229211045564152,0.053413612760452735,0.9790034366362582,-0.03536372888958076,0.030917693352690442,EURUSD,A_5m_30m_1h,5min
any,10,20125,47.14534161490683,-0.0015826693764087597,-0.0028781947962426644,0.05869302850704529,0.059877331707736736,0.9802211760792536,-0.0401852173198283,0.03538391548297907,EURUSD,A_5m_30m_1h,5min
any,15,20125,47.344099378881985,-0.0019437890589790196,-0.0036516007704914147,0.07241937974724143,0.07371492953430483,0.9824248656920916,-0.04931340565964777,0.04292869067494028,EURUSD,A_5m_30m_1h,5min
any,20,20125,47.51801242236025,-0.0018565014144101145,-0.003849151743188445,0.08387204868963623,0.08556264254124626,0.9802414488216038,-0.05677052000101241,0.05003752814610818,EURUSD,A_5m_30m_1h,5min
long,1,3554,45.920090039392235,-0.0011324578831835965,-0.0017104839051496966,0.03063276157940179,0.031376792505607175,0.9762872216440727,-0.021596547556688748,0.018230891498993165,EURUSD,B_15m_1h_4h,15min
long,2,3554,46.679797411367474,-0.001550506333507134,-0.0025086361333278764,0.04391050008312014,0.04540449093316005,0.9670959673958417,-0.03075597194182207,0.0267730235943923,EURUSD,B_15m_1h_4h,15min
long,3,3554,48.73382104670794,-0.0019879902802500747,-0.0008866113522963061,0.053828281331805436,0.056549114609339,0.951885484037548,-0.035599490965880026,0.03315681498076737,EURUSD,B_15m_1h_4h,15min
long,5,3554,49.26842993809792,-0.002542165986005544,-0.000860467634557097,0.07099083176908312,0.07401153288527443,0.9591860754880769,-0.046481543355555884,0.0424067352493323,EURUSD,B_15m_1h_4h,15min
long,8,3554,47.80528981429376,-0.00410011863620257,-0.0035558208465151925,0.09067855288234329,0.0950630014276725,0.9538784965813955,-0.06368900129060236,0.054754442227008746,EURUSD,B_15m_1h_4h,15min
long,10,3554,47.55205402363534,-0.0025537860696866685,-0.005082235537917759,0.10276466194046217,0.10729142300606044,0.9578087330863104,-0.07136509068678834,0.06366810644839997,EURUSD,B_15m_1h_4h,15min
long,15,3554,47.3832301631964,-0.002651052727567386,-0.006578590341239567,0.1283055633596456,0.1321637700360511,0.970807380302839,-0.08557292558095819,0.07814592950895527,EURUSD,B_15m_1h_4h,15min
long,20,3554,46.87675858187957,-0.0021090479943900323,-0.009836137968573081,0.15046829650908003,0.153041112888021,0.9831887240598971,-0.10128530834032262,0.0926699968344892,EURUSD,B_15m_1h_4h,15min
short,1,3787,46.92368629522049,-0.0004228692524488558,-0.001852692425279157,0.030747007085250695,0.03036247527759307,1.012664705500523,-0.021533686891242555,0.01955546704960094,EURUSD,B_15m_1h_4h,15min
short,2,3787,47.16134143121204,-0.0018886454134927472,-0.0018831505108169132,0.04381407052342671,0.04400370553498395,0.995690476307581,-0.032204061415677325,0.026300628330657445,EURUSD,B_15m_1h_4h,15min
short,3,3786,46.24933967247755,-0.0032915310066783817,-0.003716448515366684,0.053627144441916685,0.054906557709998326,0.9766983522289058,-0.03605874366552275,0.03152683768480783,EURUSD,B_15m_1h_4h,15min
short,5,3786,45.16640253565768,-0.005107553788293854,-0.007294447193306157,0.06919978739956294,0.07231901348970045,0.9568685199144518,-0.050695956052556855,0.03944633391516718,EURUSD,B_15m_1h_4h,15min
short,8,3786,46.83042789223455,-0.0033708433038068227,-0.005718456755319014,0.08823474021417327,0.0909817365763641,0.9698071671792593,-0.06345305682338334,0.05344787516093718,EURUSD,B_15m_1h_4h,15min
short,10,3786,47.35868991019546,-0.003296812010831263,-0.006888429047858894,0.09991353555257013,0.10194466227559246,0.9800761837090453,-0.07019432761142874,0.05942746505094067,EURUSD,B_15m_1h_4h,15min
short,15,3785,46.94848084544254,-0.005538840895651547,-0.008286224611921434,0.12263254343843381,0.12589964463733744,0.9740499569453533,-0.08730866399167231,0.07211950201483064,EURUSD,B_15m_1h_4h,15min
short,20,3785,47.50330250990753,-0.0060173064386269915,-0.008391530148895905,0.14243303718344294,0.14570324097375834,0.9775557237542549,-0.10278812797122022,0.08468413737240144,EURUSD,B_15m_1h_4h,15min
any,1,7341,46.437815011578806,-0.000766402557670388,-0.0018042236876646147,0.030691697382514416,0.030853536907938,0.9947545875888886,-0.021547823238903602,0.01890648492433296,EURUSD,B_15m_1h_4h,15min
any,2,7341,46.92821141533851,-0.0017249420637762416,-0.002465381928748366,0.04386075498809779,0.04468186808846684,0.9816231250953228,-0.031389393689065334,0.026569599064747186,EURUSD,B_15m_1h_4h,15min
any,3,7340,47.452316076294274,-0.002660361559576719,-0.0025753950301667236,0.05372453415672113,0.05570187749477445,0.9645013161676853,-0.035730485304435664,0.03237685772770522,EURUSD,B_15m_1h_4h,15min
any,5,7340,47.15258855585831,-0.003865402800646354,-0.0038368208568899734,0.07006700425096277,0.0731385249245601,0.958004065890507,-0.048991420131738975,0.04125255408118651,EURUSD,B_15m_1h_4h,15min
any,8,7340,47.30245231607629,-0.0037239556377760977,-0.004524319730927453,0.08941802498565504,0.09295786944850988,0.9619199053952545,-0.0634798016282612,0.054059741623013725,EURUSD,B_15m_1h_4h,15min
any,10,7340,47.452316076294274,-0.0029370416845604336,-0.0058590603659811075,0.10129404007335598,0.10453354342492259,0.96900991542592,-0.07089014167063497,0.06156624704372493,EURUSD,B_15m_1h_4h,15min
any,15,7339,47.15901348957623,-0.004140394356699223,-0.007486641024928643,0.1253797723252013,0.12893312354005285,0.9724403542139605,-0.08684651514057623,0.07483866496832015,EURUSD,B_15m_1h_4h,15min
any,20,7339,47.19989099332334,-0.0041246847584501065,-0.009408142319539386,0.1463242092291323,0.1492566946845213,0.9803527375332324,-0.10216866801410784,0.08857543050166382,EURUSD,B_15m_1h_4h,15min
long,1,1661,47.3208910295003,-0.0035037984346838877,-0.0017176523128110224,0.04550062547203886,0.04792664288382012,0.9493806103285345,-0.031262517218817884,0.02563750400586531,EURUSD,C_30m_4h_1d,30min
long,2,1661,48.88621312462372,-0.004895100110422914,-0.000912608600429429,0.06404114765128864,0.07007932568183052,0.9138379547492221,-0.046855883450346386,0.040137470837621855,EURUSD,C_30m_4h_1d,30min
long,3,1661,49.42805538832029,-0.003379478710268149,-0.000922824211222051,0.08020998202438638,0.08592395827122976,0.9334996156856916,-0.053614346459606665,0.04965073277631513,EURUSD,C_30m_4h_1d,30min
long,5,1661,48.585189644792294,-0.0036973371284081415,-0.0018358898099056372,0.10722670140620613,0.11242474090713303,0.9537642741358802,-0.07796113080765633,0.06614475734842154,EURUSD,C_30m_4h_1d,30min
long,8,1661,47.56170981336545,-0.007186852458860219,-0.007486080568949609,0.13739672222765026,0.1434008594234506,0.9581303960105941,-0.10351357037660966,0.0838542460741006,EURUSD,C_30m_4h_1d,30min
long,10,1661,48.34437086092716,-0.004458031237853714,-0.006487368167412512,0.1554161734739832,0.16069718530983726,0.9671368740798302,-0.10898679227855906,0.09992391115022829,EURUSD,C_30m_4h_1d,30min
long,15,1661,48.70559903672487,-0.00209543976067702,-0.004758053004720513,0.19443319244040194,0.19864402045558163,0.9788021406054794,-0.13569453271268098,0.1283271206711493,EURUSD,C_30m_4h_1d,30min
long,20,1661,47.7423239012643,0.0019427668264639262,-0.009502336710986816,0.22611391493464258,0.2308852740881983,0.9793345020707858,-0.1572385560104177,0.15562871435289516,EURUSD,C_30m_4h_1d,30min
short,1,1975,46.53164556962025,-0.0005064827439194919,-0.0028016959599520435,0.04600267390230452,0.04544331815958383,1.0123088666359352,-0.03040677199431663,0.026534234446447542,EURUSD,C_30m_4h_1d,30min
short,2,1975,47.59493670886076,-0.0001300553147608739,-0.002854994813444793,0.06643331824593432,0.06444999906637039,1.0307729900433593,-0.04622113440939885,0.03966769251866652,EURUSD,C_30m_4h_1d,30min
short,3,1975,46.53164556962025,-0.001982137573569179,-0.006035939709586322,0.08095432414406067,0.08020953727469537,1.0092855150979692,-0.05627702918862948,0.04828051846256277,EURUSD,C_30m_4h_1d,30min
short,5,1975,47.139240506329116,0.00020160574880519438,-0.006526989099929555,0.10533944925075969,0.10367991754079536,1.0160062985130303,-0.07014998655048678,0.06273970104904578,EURUSD,C_30m_4h_1d,30min
short,8,1975,48.35443037974684,0.004141958988442251,-0.0034122705248106192,0.13586928729124137,0.12968008607722228,1.0477266895885118,-0.08344007704735654,0.08615089916059826,EURUSD,C_30m_4h_1d,30min
short,10,1975,48.81012658227848,0.005851148155352624,-0.0030025521693413893,0.154075440694776,0.14702278975051797,1.0479697804416963,-0.10142374557540666,0.09931982437989759,EURUSD,C_30m_4h_1d,30min
short,15,1975,49.0126582278481,-0.0019537632159979854,-0.003379320249735146,0.19346293405831372,0.1898604083156725,1.0189746023123023,-0.1297762336734063,0.12456385840391573,EURUSD,C_30m_4h_1d,30min
short,20,1975,48.35443037974684,-0.003815756264084755,-0.007105489879105238,0.22519355224149198,0.222748295041734,1.010977669657583,-0.15542871006955525,0.150575677565976,EURUSD,C_30m_4h_1d,30min
any,1,3636,46.89218921892189,-0.001875718542148222,-0.001947481195553964,0.045773327795959294,0.04657775225390629,0.9827294272690127,-0.030574280323683655,0.026016561052195464,EURUSD,C_30m_4h_1d,30min
any,2,3636,48.18481848184818,-0.0023068263284007663,-0.0018638181805434757,0.06534052524326477,0.0670215918904296,0.9749175362782619,-0.04643252373306685,0.03979499218885506,EURUSD,C_30m_4h_1d,30min
any,3,3636,47.85478547854785,-0.0026204719047179656,-0.004417409645339636,0.08061429326925898,0.08282000297195709,0.9733674278731316,-0.05548114106011882,0.04911953481734882,EURUSD,C_30m_4h_1d,30min
any,5,3636,47.799779977997794,-0.0015795119957083788,-0.003729564230261967,0.10620158506764543,0.10767473371557172,0.9863185299179129,-0.07275199821098377,0.06404282710264728,EURUSD,C_30m_4h_1d,30min
