side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2020-07-28 01:30:00,2020-07-28 02:15:00,26623.7,26608.432142857142,sl,-999.9999999999999,9,A_5m_30m_1h,long
1,2020-07-28 02:40:00,2020-07-28 02:45:00,26612.2,26592.860714285714,sl,-990.0,1,A_5m_30m_1h,long
1,2020-07-28 02:50:00,2020-07-28 03:00:00,26608.7,26643.432142857142,tp,1633.4999999998859,2,A_5m_30m_1h,long
1,2020-07-28 05:20:00,2020-07-28 05:55:00,26674.2,26652.235714285714,sl,-996.4349999999989,7,A_5m_30m_1h,long
-1,2020-07-28 14:15:00,2020-07-28 14:30:00,26491.3,26442.28214285714,tp,1644.1177500000792,3,A_5m_30m_1h,short
-1,2020-07-28 15:20:00,2020-07-28 15:40:00,26447.8,26485.03214285714,sl,-1002.9118274999997,4,A_5m_30m_1h,short
-1,2020-07-28 16:15:00,2020-07-28 16:30:00,26477.8,26508.496428571427,sl,-992.8827092249998,3,A_5m_30m_1h,short
-1,2020-07-28 17:30:00,2020-07-28 18:40:00,26466.8,26530.764285714286,sl,-982.9538821327498,14,A_5m_30m_1h,short
-1,2020-07-28 18:55:00,2020-07-28 21:00:00,26499.3,26546.014285714286,sl,-973.1243433114223,25,A_5m_30m_1h,short
-1,2020-07-28 23:35:00,2020-07-29 02:55:00,26378.3,26424.746428571427,sl,-963.393099878308,28,A_5m_30m_1h,short
-1,2020-07-29 03:10:00,2020-07-29 03:15:00,26403.3,26424.72857142857,sl,-953.759168879525,1,A_5m_30m_1h,short
-1,2020-07-29 05:40:00,2020-07-29 06:40:00,26375.3,26337.710714285713,tp,1573.7026286511655,12,A_5m_30m_1h,short
-1,2020-07-29 08:15:00,2020-07-29 08:30:00,26308.3,26326.35357142857,sl,-959.9586034772415,3,A_5m_30m_1h,short
-1,2020-07-29 08:45:00,2020-07-29 08:50:00,26310.8,26330.72857142857,sl,-950.359017442469,1,A_5m_30m_1h,short
-1,2020-07-29 13:45:00,2020-07-29 14:30:00,26420.3,26386.996428571427,tp,1568.0923787802453,9,A_5m_30m_1h,short
-1,2020-07-29 15:05:00,2020-07-29 15:05:00,26422.3,26448.121428571427,sl,-956.5363510558468,0,A_5m_30m_1h,short
-1,2020-07-29 17:30:00,2020-07-29 17:50:00,26415.3,26457.889285714286,sl,-946.9709875452883,4,A_5m_30m_1h,short
1,2020-07-29 23:00:00,2020-07-30 08:15:00,26541.2,26481.09285714286,sl,-937.5012776698354,96,A_5m_30m_1h,long
-1,2020-07-30 11:30:00,2020-07-30 11:55:00,26335.8,26269.460714285713,tp,1546.8771081552002,5,A_5m_30m_1h,short
-1,2020-07-30 13:00:00,2020-07-30 13:50:00,26321.8,26258.675,tp,1572.658393291148,10,A_5m_30m_1h,short
-1,2020-07-30 14:10:00,2020-07-30 14:15:00,26284.3,26321.960714285713,sl,-959.3216199076004,1,A_5m_30m_1h,short
-1,2020-07-30 16:35:00,2020-07-30 16:40:00,26227.3,26137.389285714286,tp,1582.880672847562,1,A_5m_30m_1h,short
-1,2020-07-30 20:25:00,2020-07-30 23:30:00,26332.3,26376.710714285713,sl,-965.5572104370001,34,A_5m_30m_1h,short
1,2020-07-31 01:50:00,2020-07-31 03:05:00,26496.2,26464.539285714287,sl,-955.9016383326301,15,A_5m_30m_1h,long
-1,2020-07-31 06:45:00,2020-07-31 07:00:00,26401.8,26355.72857142857,tp,1577.2377032487152,3,A_5m_30m_1h,short
-1,2020-07-31 08:20:00,2020-07-31 08:40:00,26341.3,26295.496428571427,tp,1603.5249983031124,4,A_5m_30m_1h,short
-1,2020-07-31 09:50:00,2020-07-31 10:25:00,26359.3,26390.210714285713,sl,-978.1502489648221,7,A_5m_30m_1h,short
-1,2020-07-31 10:50:00,2020-07-31 11:35:00,26389.3,26437.567857142858,sl,-968.3687464751738,9,A_5m_30m_1h,short
