sample,kind,signal,horizon_m1,n_events,accuracy,up_calls,dn_calls,no_edge_lt_52,passes_60,passes_70
all_hours,always_on,always_last_bar_continue,1,356896,0.4901343808840671,179520,177376,True,False,False
all_hours,always_on,always_last_bar_continue,5,357766,0.4912987818853664,179985,177781,True,False,False
all_hours,always_on,always_last_bar_continue,10,357928,0.4916770970698017,180053,177875,True,False,False
all_hours,always_on,always_last_bar_continue,20,358045,0.49304696337052606,180134,177911,True,False,False
all_hours,always_on,always_cci30_sign,1,358406,0.49186955575520497,184045,174361,True,False,False
all_hours,always_on,always_cci30_sign,5,359322,0.48658863081024817,184504,174818,True,False,False
all_hours,always_on,always_cci30_sign,10,359507,0.48609901893426277,184631,174876,True,False,False
all_hours,always_on,always_cci30_sign,20,359625,0.4912811956899548,184638,174987,True,False,False
all_hours,always_on,always_cci30_velocity,1,358406,0.49423837770573037,178070,180336,True,False,False
all_hours,always_on,always_cci30_velocity,5,359322,0.49349051825382245,178556,180766,True,False,False
all_hours,always_on,always_cci30_velocity,10,359507,0.49302795216782985,178644,180863,True,False,False
all_hours,always_on,always_cci30_velocity,20,359625,0.49473757386166145,178700,180925,True,False,False
all_hours,always_on,always_close_vs_ema8,1,358432,0.48933688956343185,183122,175310,True,False,False
all_hours,always_on,always_close_vs_ema8,5,359347,0.4851466688187184,183603,175744,True,False,False
all_hours,always_on,always_close_vs_ema8,10,359533,0.4844979459465473,183694,175839,True,False,False
all_hours,always_on,always_close_vs_ema8,20,359651,0.4890574473586894,183750,175901,True,False,False
all_hours,event,single_stoch_ema_A,1,2521,0.5577151923839746,1251,1270,False,False,False
all_hours,event,single_stoch_ema_A,5,2530,0.6260869565217392,1255,1275,False,True,False
all_hours,event,single_stoch_ema_A,10,2531,0.6499407348873962,1255,1276,False,True,False
all_hours,event,single_stoch_ema_A,20,2532,0.6484992101105845,1256,1276,False,True,False
all_hours,event,single_rsi2_ema_A,1,3245,0.5445300462249615,1822,1423,False,False,False
all_hours,event,single_rsi2_ema_A,5,3256,0.5835380835380836,1830,1426,False,False,False
all_hours,event,single_rsi2_ema_A,10,3257,0.6146760822843107,1831,1426,False,True,False
