combo,side,entry_time,exit_time,entry,exit,reason,pnl,r_multiple,bars_held
5m+30m,long,2021-01-22 12:30:00,2021-01-22 12:30:00,1.21774,1.2172800000000001,signal,-615.0907354344099,-0.61509073543441,0
5m+30m,long,2021-01-29 23:50:00,2021-02-01 00:00:00,1.21338,1.21295,signal,-1020.1144991857651,-1.0264279624889427,1
5m+30m,long,2021-02-18 09:40:00,2021-02-18 10:05:00,1.2046999999999999,1.20453,signal,-328.57292847900936,-0.33403508771885615,5
5m+30m,long,2021-03-01 23:30:00,2021-03-02 00:10:00,1.20455,1.2044700000000002,signal,-272.12036792344367,-0.2775712515483921,8
5m+30m,short,2021-03-10 06:00:00,2021-03-10 06:10:00,1.18795,1.18815,signal,-586.7941781632935,-0.6002143622723273,2
5m+30m,short,2021-03-10 15:15:00,2021-03-10 15:20:00,1.18919,1.1890399999999999,signal,177.37709283865092,0.18252933507184957,1
5m+30m,long,2021-03-12 20:25:00,2021-03-12 20:55:00,1.19506,1.19517,signal,218.7107424520975,0.22465353756395334,6
5m+30m,short,2021-03-15 06:40:00,2021-03-15 06:55:00,1.19479,1.1942989285714285,tp,1626.223252101992,1.6666666666669179,3
5m+30m,short,2021-03-16 10:45:00,2021-03-16 10:45:00,1.19226,1.19285,signal,-929.0122990970928,-0.9365079365075337,0
5m+30m,short,2021-03-26 15:00:00,2021-03-26 15:00:00,1.17756,1.1781096428571427,sl,-982.7060607910971,-1.0,0
5m+30m,long,2021-04-13 02:35:00,2021-04-13 02:50:00,1.1914099999999999,1.191242857142857,sl,-972.8790001831861,-1.0,3
5m+30m,long,2021-04-22 15:20:00,2021-04-22 15:30:00,1.20515,1.2044235714285714,sl,-963.1502101813543,-1.0,2
5m+30m,long,2021-05-10 13:40:00,2021-05-10 14:00:00,1.21702,1.2163567857142856,sl,-953.5187080795408,-1.0,4
5m+30m,short,2021-05-13 08:25:00,2021-05-13 08:45:00,1.2076,1.20776,signal,-632.1444206386046,-0.6696562032881554,4
5m+30m,short,2021-05-28 05:55:00,2021-05-28 05:55:00,1.21818,1.2184692857142858,sl,-937.6620767923594,-1.0,0
5m+30m,long,2021-05-31 16:55:00,2021-05-31 17:15:00,1.2203,1.22012,signal,-401.93803250496575,-0.4329896907211539,4
5m+30m,long,2021-06-01 06:25:00,2021-06-01 06:45:00,1.2231999999999998,1.2229700000000001,signal,-729.4452852323896,-0.7892156862734827,4
5m+30m,long,2021-06-02 20:05:00,2021-06-02 20:10:00,1.22145,1.22112,signal,-1001.5151058045832,-1.0921985815602733,1
5m+30m,long,2021-06-07 16:15:00,2021-06-07 16:35:00,1.2170699999999999,1.21686,signal,-341.19667652682915,-0.3761996161224826,4
5m+30m,short,2021-06-09 21:10:00,2021-06-09 21:10:00,1.2178,1.21809,signal,-929.8835717094153,-1.0291508238268519,0
5m+30m,long,2021-06-15 00:15:00,2021-06-15 00:20:00,1.2119499999999999,1.21183,signal,-565.85036701845,-0.6327683615814181,1
5m+30m,long,2021-06-15 18:10:00,2021-06-15 18:10:00,1.2123599999999999,1.21225,signal,-155.4144503212105,-0.17490062464484463,0
5m+30m,long,2021-06-22 18:15:00,2021-06-22 18:30:00,1.19083,1.19019,signal,-790.8274496868526,-0.8915422885570886,3
5m+30m,short,2021-06-28 22:00:00,2021-06-28 22:20:00,1.19228,1.19241,signal,-303.0316361510971,-0.344696969696876,4
5m+30m,short,2021-07-12 20:20:00,2021-07-12 20:35:00,1.18561,1.18581,signal,-436.1003386256524,-0.4977777777777041,3
5m+30m,long,2021-07-16 08:30:00,2021-07-16 08:55:00,1.18109,1.180907857142857,sl,-871.7334268886214,-1.0,5
5m+30m,short,2021-07-16 15:55:00,2021-07-16 15:55:00,1.1800000000000002,1.18025,signal,-285.22722607813944,-0.3305004721433592,0
5m+30m,short,2021-07-19 00:00:00,2021-07-19 00:05:00,1.18048,1.1807221428571428,sl,-860.1638203589536,-1.0,1
5m+30m,long,2021-07-22 14:25:00,2021-07-22 14:45:00,1.17962,1.1789867857142855,sl,-851.562182155364,-1.0,4
5m+30m,long,2021-08-09 16:50:00,2021-08-09 16:50:00,1.17634,1.17602,signal,-389.76765637705563,-0.46233230134136877,0
5m+30m,long,2021-08-12 16:10:00,2021-08-12 16:10:00,1.1736,1.1729035714285714,sl,-839.1488837700399,-1.0,0
5m+30m,short,2021-08-20 11:30:00,2021-08-20 11:55:00,1.1675200000000001,1.1674799999999999,signal,58.080417124245336,0.06991260923891707,5
5m+30m,short,2021-08-25 16:35:00,2021-08-25 16:55:00,1.17348,1.1741603571428572,sl,-831.3381991035818,-1.0,4
5m+30m,short,2021-08-26 17:40:00,2021-08-26 18:00:00,1.1752500000000001,1.17547,signal,-239.03030992036315,-0.290429042904154,4
5m+30m,short,2021-08-31 17:45:00,2021-08-31 17:55:00,1.1824400000000002,1.1810703571428574,tp,1367.7241900220158,1.6666666666663965,2
5m+30m,long,2021-09-03 17:35:00,2021-09-03 17:45:00,1.18899,1.187975357142857,sl,-834.3117559135626,-1.0,2
5m+30m,long,2021-09-16 04:20:00,2021-09-16 04:20:00,1.18197,1.18174,signal,-828.5417493767823,-1.003115264796835,0
5m+30m,long,2021-09-22 11:40:00,2021-09-22 12:20:00,1.1729699999999998,1.17319,signal,309.7742091331657,0.3788437884381562,8
5m+30m,long,2021-09-29 00:55:00,2021-09-29 00:55:00,1.1684299999999999,1.168150357142857,sl,-820.7809629519907,-1.0,0
5m+30m,short,2021-10-28 01:00:00,2021-10-28 01:00:00,1.15997,1.160192857142857,sl,-812.5731533224707,-1.0,0
5m+30m,short,2021-11-23 08:40:00,2021-11-23 08:40:00,1.1235300000000001,1.1239425,sl,-804.447421789246,-1.0,0
5m+30m,long,2021-11-26 04:35:00,2021-11-26 04:55:00,1.12165,1.1223517857142857,tp,1327.338245952676,1.666666666667194,4
5m+30m,short,2021-12-03 16:45:00,2021-12-03 16:55:00,1.1289200000000001,1.12937,signal,-197.71166198422574,-0.24418604651155507,2
5m+30m,short,2021-12-14 02:25:00,2021-12-14 02:50:00,1.1281400000000001,1.1276953571428572,tp,1346.1653556852873,1.666666666666944,5
5m+30m,short,2021-12-27 09:10:00,2021-12-27 09:20:00,1.13179,1.13212,signal,-950.8178459630903,-1.1578947368424333,2
5m+30m,long,2021-12-31 13:15:00,2021-12-31 13:35:00,1.13344,1.1329,signal,-679.5231810766569,-0.8372093023255494,4
5m+30m,short,2022-01-04 10:40:00,2022-01-04 11:10:00,1.1294300000000002,1.1297599999999999,signal,-342.39792356713394,-0.42541436464050125,6
5m+30m,short,2022-01-07 16:00:00,2022-01-07 16:00:00,1.13011,1.13036,signal,-146.89799272674372,-0.1832940560356633,0
5m+30m,short,2022-01-28 11:20:00,2022-01-28 11:40:00,1.1127200000000002,1.11333,signal,-709.4181525380726,-0.8868120456901015,4
5m+30m,short,2022-02-08 05:50:00,2022-02-08 05:50:00,1.14299,1.14317,signal,-586.7938902625417,-0.740088105727182,0
5m+30m,long,2022-02-17 18:45:00,2022-02-17 18:55:00,1.13704,1.136245,sl,-787.0023771065486,-1.0,2
5m+30m,long,2022-02-23 04:00:00,2022-02-23 04:15:00,1.13354,1.1332078571428572,sl,-779.1323533354832,-1.0,3
5m+30m,short,2022-02-25 12:25:00,2022-02-25 12:45:00,1.11769,1.11797,signal,-209.32203785550672,-0.2713741779160951,4
5m+30m,long,2022-03-08 21:00:00,2022-03-08 21:05:00,1.0917599999999998,1.09112,signal,-280.18131595255295,-0.3642276422762954,1
5m+30m,short,2022-03-08 23:25:00,2022-03-09 00:25:00,1.0904,1.0899299999999998,signal,594.018216186159,0.775029446408008,12
5m+30m,long,2022-03-21 10:55:00,2022-03-21 11:10:00,1.10548,1.1068460714285715,tp,1287.3102973763757,1.666666666666486,3
5m+30m,long,2022-03-24 13:35:00,2022-03-24 13:40:00,1.09943,1.0988910714285713,sl,-785.2592813996729,-1.0,1
5m+30m,short,2022-04-07 07:00:00,2022-04-07 07:00:00,1.0907,1.09083,signal,-257.0172885059444,-0.3306085376928412,0
5m+30m,long,2022-04-12 17:45:00,2022-04-12 17:50:00,1.08883,1.087945,sl,-774.8365157006167,-1.0,1
5m+30m,short,2022-04-18 05:10:00,2022-04-18 05:55:00,1.0804500000000001,1.0802699999999998,signal,191.48708661445303,0.24962852897512797,9
5m+30m,long,2022-04-28 17:25:00,2022-04-28 17:30:00,1.0510599999999999,1.0495192857142854,sl,-769.0030214097551,-1.0,1
5m+30m,long,2022-04-29 19:55:00,2022-04-29 20:10:00,1.05471,1.0563028571428572,tp,1268.8549853262728,1.666666666666899,3
5m+30m,short,2022-05-02 01:25:00,2022-05-02 01:50:00,1.0543500000000001,1.05461,signal,-430.789848534621,-0.556574923547075,5
5m+30m,short,2022-05-10 11:30:00,2022-05-10 11:35:00,1.0558400000000001,1.0566,signal,-474.3434901172775,-0.6162757022877429,1
5m+30m,long,2022-06-30 07:25:00,2022-06-30 07:55:00,1.04542,1.04528,signal,-378.61171894395005,-0.4949494949494077,6
5m+30m,long,2022-07-05 04:35:00,2022-07-05 05:00:00,1.04347,1.04328,signal,-252.77109621190405,-0.3320848938825275,5
5m+30m,long,2022-08-09 07:45:00,2022-08-09 08:10:00,1.01939,1.01936,signal,-110.06123640558727,-0.1450777202070814,5
5m+30m,short,2022-08-17 16:35:00,2022-08-17 16:35:00,1.01601,1.01643,signal,-245.41654605078844,-0.32396694214866606,0
5m+30m,short,2022-08-17 20:20:00,2022-08-17 20:20:00,1.01645,1.0165899999999999,signal,-172.4895034152617,-0.22843822843789485,0
5m+30m,short,2022-08-17 20:30:00,2022-08-17 20:30:00,1.01651,1.01683,signal,-389.95240274987714,-0.5176198729056294,0
5m+30m,long,2022-08-19 11:30:00,2022-08-19 11:30:00,1.0086199999999999,1.00825,signal,-373.4668788834763,-0.4983164983162627,0
5m+30m,long,2022-08-26 07:15:00,2022-08-26 07:20:00,0.99705,0.9967071428571429,sl,-745.7225138357928,-1.0,1
5m+30m,short,2022-09-13 06:55:00,2022-09-13 06:55:00,1.01298,1.01308,signal,-178.50974165397236,-0.24179620034544447,0
5m+30m,short,2022-09-14 16:20:00,2022-09-14 16:55:00,0.99939,0.99925,signal,75.00655624374504,0.1018446349701446,7
5m+30m,long,2022-09-19 15:40:00,2022-09-19 15:50:00,0.9995499999999999,0.9985342857142857,sl,-737.2302568433327,-1.0,2
5m+30m,short,2022-09-26 15:00:00,2022-09-26 15:15:00,0.96374,0.9646199999999999,signal,-373.2606889441876,-0.5114155251140825,3
5m+30m,long,2022-09-27 05:25:00,2022-09-27 06:00:00,0.9631299999999999,0.96299,signal,-140.14826990395306,-0.1930083702608395,7
5m+30m,short,2022-09-27 14:00:00,2022-09-27 14:15:00,0.96267,0.96337,signal,-355.73723385555274,-0.49085900325564313,3
5m+30m,short,2022-10-10 23:55:00,2022-10-11 00:00:00,0.97052,0.9699307142857143,tp,1201.944153913255,1.666666666666876,1
5m+30m,long,2022-10-11 12:05:00,2022-10-11 12:25:00,0.97088,0.97031,signal,-378.69409400762567,-0.5165048543688965,4
5m+30m,short,2022-10-11 23:45:00,2022-10-12 00:05:00,0.9703,0.9704299999999999,signal,-173.8711417370045,-0.23837590045817056,4
5m+30m,long,2022-10-17 14:30:00,2022-10-17 14:30:00,0.9750599999999999,0.9749800000000001,signal,-58.800830830570035,-0.0808080808079426,0
5m+30m,short,2022-10-20 06:10:00,2022-10-20 06:40:00,0.9758800000000001,0.9760399999999999,signal,-245.09283551752117,-0.33709556057151585,6
5m+30m,long,2022-11-10 04:05:00,2022-11-10 04:05:00,1.0023,1.0016614285714285,sl,-724.6213448660675,-1.0,0
5m+30m,long,2022-11-25 05:10:00,2022-11-25 05:15:00,1.04145,1.04098,signal,-564.97048051784,-0.7875523638539823,1
5m+30m,long,2022-12-05 00:20:00,2022-12-05 00:20:00,1.05371,1.05365,signal,-75.20117715141983,-0.10566037735840499,0
5m+30m,long,2022-12-05 00:30:00,2022-12-05 00:30:00,1.05372,1.05356,signal,-203.00579340248203,-0.28553218610566933,0
5m+30m,long,2022-12-05 01:35:00,2022-12-05 01:35:00,1.0538399999999999,1.05365,signal,-212.72299259679815,-0.3000564015790567,0
5m+30m,short,2022-12-23 16:05:00,2022-12-23 16:45:00,1.06116,1.06063,signal,204.46688741514265,0.28927875243672746,8
5m+30m,long,2022-12-30 12:05:00,2022-12-30 12:15:00,1.06619,1.06623,signal,28.89097857926335,0.04075691411939543,2
5m+30m,long,2022-12-30 12:25:00,2022-12-30 12:30:00,1.0666499999999999,1.0667,signal,35.73828610147581,0.05039596832263909,1
5m+30m,long,2022-12-30 12:40:00,2022-12-30 13:20:00,1.06698,1.0685871428571427,tp,1182.5118141693038,1.6666666666664365,8
5m+30m,short,2023-01-06 09:10:00,2023-01-06 09:30:00,1.05158,1.05186,signal,-299.69499205539495,-0.4154742978273312,4
5m+30m,long,2023-01-10 23:25:00,2023-01-10 23:30:00,1.07381,1.0735700000000001,signal,-336.6257269995335,-0.46861924686153283,1
