label,n,win_rate,avg_R,median_R,profit_factor,expectancy_R,total_R,max_dd_R,target_hits,stop_hits,time_exits,other_exits,long_n,short_n,long_wr,short_wr,final_eq_pct,avg_bars
XAUUSD|core,28509,38.366831526886244,-0.03225791615903061,-1.0,0.9442795005916463,-0.03225791615903061,-919.6409317778036,926.3200330083339,7381,15918,4086,1124,14674,13835,38.91917677524874,37.7809902421395,-819.6409317778035,3.744992809288295
XAUUSD|+vwap,25491,39.143227021301634,-0.018767330106389236,-1.0,0.9669771372739115,-0.018767330106389236,-478.398011741968,573.5171649132176,6468,13919,3923,1181,13301,12190,39.59852642658447,38.646431501230516,-378.39801174196805,3.8980032168216234
XAUUSD|+htf15,23199,38.84219147377042,-0.02462100385008337,-1.0,0.9572273886917003,-0.02462100385008337,-571.1826683180841,584.0881886727614,5964,12904,3287,1044,12372,10827,38.942774005819594,38.72725593423848,-471.182668318084,3.747963274279064
XAUUSD|+vwap+htf15,22726,38.95538150136408,-0.022151679720223107,-1.0,0.9613829409386256,-0.022151679720223107,-503.41907332179034,519.9513450702731,5840,12578,3289,1019,12143,10583,39.16659804002306,38.71303033166399,-403.41907332179034,3.7990407462817917
EURUSD|core,28514,37.5710177456688,-0.05347348978054264,-1.0,0.9087177870857408,-0.05347348978054264,-1524.743087602393,1527.6347462895078,7077,16130,4074,1233,14740,13774,37.455902306648575,37.69420647596922,-1424.743087602393,3.74928105492039
EURUSD|+vwap,25439,38.35056409450057,-0.04294963988537665,-1.0,0.9254370766750879,-0.04294963988537665,-1092.5958890440966,1100.960029426933,6164,14106,3915,1254,13077,12362,38.34977441309169,38.3513994499272,-992.5958890440963,3.8988167773890483
EURUSD|+htf15,22156,37.52482397544683,-0.05882250179900601,-1.0,0.8996533367282274,-0.05882250179900601,-1303.2713498587773,1317.7296346247817,5383,12525,3192,1056,11296,10860,37.694759206798864,37.348066298342545,-1203.2713498587773,3.778299332009388
EURUSD|+vwap+htf15,21892,37.86771423350996,-0.050437208003931186,-1.0,0.9133189424445217,-0.050437208003931186,-1104.1713576220616,1124.7458547266635,5353,12267,3224,1048,11116,10776,38.062252608852106,37.66703786191537,-1004.1713576220616,3.8130367257445643
GBPUSD|core,28912,37.86317100166021,-0.04374712477217024,-1.0,0.924991931839776,-0.04374712477217024,-1264.816871412986,1279.0598057376328,7385,16260,4068,1199,14716,14196,37.965479749932044,37.757114680191606,-1164.816871412986,3.7377213613724405
GBPUSD|+vwap,24950,38.1563126252505,-0.04399285004696278,-1.0,0.9240278938436124,-0.04399285004696278,-1097.6216086717213,1130.406956148753,6175,13900,3702,1173,12715,12235,38.20684231222965,38.10380057212914,-997.6216086717211,3.8490981963927857
GBPUSD|+htf15,22382,37.64632293807524,-0.04721243288032398,-1.0,0.9192658315648579,-0.04721243288032398,-1056.7086727274113,1076.7774321385816,5626,12620,3084,1052,11494,10888,37.73273012006264,37.55510653930933,-956.7086727274116,3.7465373961218837
GBPUSD|+vwap+htf15,21636,37.862821223886115,-0.045002739383636324,-1.0,0.922801291370842,-0.045002739383636324,-973.6792693043556,993.7480287155281,5404,12158,3043,1031,11054,10582,38.004342319522344,37.714987714987714,-873.6792693043554,3.790164540580514
US30|core,28009,38.23056874576029,-0.029506727610016045,-1.0,0.9468805612786849,-0.029506727610016045,-826.4539336289394,884.4246601554662,6825,14929,4645,1610,14546,13463,39.39914753196755,36.96798633291243,-726.4539336289394,3.9123138991038595
US30|+vwap,25357,38.75852821706038,-0.02568418179475965,-1.0,0.9531212393053102,-0.02568418179475965,-651.2737977697204,724.2974165609842,5976,13267,4506,1608,13475,11882,39.83673469387755,37.535768389160076,-551.2737977697205,4.066411641755728
US30|+htf15,22413,38.99968768125641,-0.011864669114267362,-1.0,0.9784485492152943,-0.011864669114267362,-265.9228288580744,336.8849291706732,5570,11817,3636,1390,12508,9905,40.078349856092096,37.63755678950025,-165.92282885807435,3.914826216927676
US30|+vwap+htf15,22142,39.08860988167284,-0.01204495058770444,-1.0,0.9781244094846631,-0.01204495058770444,-266.6992959129517,377.19730614000235,5455,11673,3631,1383,12316,9826,40.151023059434884,37.75697130063098,-166.69929591295164,3.9558305482792884
