date,pnl_pct,goal_hit,breached,trades,closed
2026-04-28,8.062,True,False,121,121
2026-04-29,5.961,True,False,91,91
2026-04-30,2.499,False,False,35,35
2026-05-01,6.576,True,False,103,103
2026-05-04,6.075,True,False,144,144
2026-05-05,2.121,False,False,82,82
2026-05-06,9.615,True,False,94,94
2026-05-07,3.752,True,False,95,95
2026-05-08,6.056,True,False,150,150
2026-05-11,2.814,True,False,77,77
2026-05-12,2.481,False,False,39,39
2026-05-13,2.372,False,False,49,49
2026-05-14,2.877,True,False,69,69
2026-05-15,3.404,True,False,18,18
2026-05-18,7.278,True,False,109,109
2026-05-19,4.774,True,False,95,95
2026-05-20,5.817,True,False,130,130
2026-05-21,7.7,True,False,143,143
2026-05-22,2.426,False,False,67,67
2026-05-25,2.079,False,False,57,57
2026-05-26,2.478,False,False,37,37
