symbol,name,base,htf,entry_thr,exit_mode,exit_thr,htf_m_min,sl_atr,tp_atr,trail_atr,be_at_r,sides,session,n,ret,pf,wr,dd,sharpe,avg_bars,final,score
EURUSD,15min+1h_e15_zero_hm0_s1.5_t2.5_both,15min,1h,15.0,zero,0.0,0.0,1.5,2.5,0.0,0.0,both,all,1102,-80.18480138996789,0.663135738420915,36.7513611615245,-80.9392146027729,-2.5604818048650184,1.9491833030852994,19815.19861003211,-25.487121293657346
EURUSD,15min+1h_e15_zero_hm0_s1.5_t2.5_long,15min,1h,15.0,zero,0.0,0.0,1.5,2.5,0.0,0.0,long,all,1288,-80.04072920409675,0.6602045298239138,37.267080745341616,-80.68539570166007,-2.314119744974882,1.7104037267080745,19959.270795903256,-25.47853367167049
EURUSD,15min+1h_e15_zero_hm0_s1.5_t3.5_both,15min,1h,15.0,zero,0.0,0.0,1.5,3.5,0.0,0.0,both,all,1080,-80.13203449056539,0.6568956450352492,36.666666666666664,-80.96094366480932,-2.403912426598443,2.0407407407407407,19867.96550943461,-25.501480013626868
EURUSD,15min+1h_e15_zero_hm0_s1.5_t3.5_long,15min,1h,15.0,zero,0.0,0.0,1.5,3.5,0.0,0.0,long,all,1225,-80.04844420574958,0.6438494598193825,36.6530612244898,-80.73367324259473,-2.2250144866484174,1.8514285714285714,19951.555794250435,-25.521661048385315
EURUSD,15min+1h_e15_zero_hm0_s2.0_t4.0_both,15min,1h,15.0,zero,0.0,0.0,2.0,4.0,0.0,0.0,both,all,1216,-80.03557059202954,0.6315861204411415,36.92434210526316,-80.66472786922687,-2.7158658336691195,2.1751644736842106,19964.42940797046,-25.549046637347402
EURUSD,15min+1h_e15_zero_hm0_s2.0_t4.0_long,15min,1h,15.0,zero,0.0,0.0,2.0,4.0,0.0,0.0,long,all,1466,-80.17571880450205,0.6347721977555311,37.31241473396999,-80.68961251954865,-2.558855221703945,2.0463847203274215,19824.281195497955,-25.547682758573202
EURUSD,15min+1h_e15_zero_hm12_s1.5_t2.5_both,15min,1h,15.0,zero,0.0,12.0,1.5,2.5,0.0,0.0,both,all,1368,-80.0665018283249,0.6931305006897319,39.25438596491228,-80.44966540443727,-2.4217342583656456,1.8464912280701755,19933.498171675088,-25.387820437586157
EURUSD,15min+1h_e15_zero_hm12_s1.5_t2.5_long,15min,1h,15.0,zero,0.0,12.0,1.5,2.5,0.0,0.0,long,all,1403,-80.05014819559331,0.6849972994047007,36.92088382038489,-80.29145742533053,-2.2626520474405445,1.6771204561653599,19949.85180440669,-25.4011709763252
EURUSD,15min+1h_e15_zero_hm12_s1.5_t3.5_both,15min,1h,15.0,zero,0.0,12.0,1.5,3.5,0.0,0.0,both,all,1342,-80.12770714270438,0.6743348013422243,38.822652757078984,-80.43167477119981,-2.3213290782239633,1.9150521609538003,19872.29285729563,-25.436538273200608
EURUSD,15min+1h_e15_zero_hm12_s1.5_t3.5_long,15min,1h,15.0,zero,0.0,12.0,1.5,3.5,0.0,0.0,long,all,1382,-80.11044869239028,0.6683025849648351,36.61360347322721,-80.31791185821331,-2.194620061860258,1.79232995658466,19889.55130760972,-25.446377959612057
EURUSD,15min+1h_e15_zero_hm12_s2.0_t4.0_both,15min,1h,15.0,zero,0.0,12.0,2.0,4.0,0.0,0.0,both,all,1641,-80.01594050122584,0.6619715441434684,39.366240097501525,-80.24586562322571,-2.659850670032851,2.1029859841560024,19984.059498774157,-25.455543384619393
EURUSD,15min+1h_e15_zero_hm12_s2.0_t4.0_long,15min,1h,15.0,zero,0.0,12.0,2.0,4.0,0.0,0.0,long,all,1576,-80.08960174159041,0.647258609442791,36.86548223350254,-80.24571911578381,-2.538883811912313,1.9492385786802031,19910.39825840959,-25.49526631068799
EURUSD,15min+1h_e15_zero_hm25_s1.5_t2.5_both,15min,1h,15.0,zero,0.0,25.0,1.5,2.5,0.0,0.0,both,all,1486,-80.06462146027769,0.705856232019633,39.83849259757739,-80.82214612191491,-2.3467746640103337,1.82907133243607,19935.37853972231,-25.370830123238623
EURUSD,15min+1h_e15_zero_hm25_s1.5_t2.5_long,15min,1h,15.0,zero,0.0,25.0,1.5,2.5,0.0,0.0,long,all,1216,-80.11223749625415,0.6468048772021011,36.266447368421055,-80.642829080196,-2.595655559397707,1.6504934210526316,19887.76250374584,-25.513190470052756
EURUSD,15min+1h_e15_zero_hm25_s1.5_t3.5_both,15min,1h,15.0,zero,0.0,25.0,1.5,3.5,0.0,0.0,both,all,1472,-80.03868623637024,0.6912781507126383,39.60597826086956,-80.43054871215509,-2.2687671211087728,1.9110054347826086,19961.313763629765,-25.390574021159416
EURUSD,15min+1h_e15_zero_hm25_s1.5_t3.5_long,15min,1h,15.0,zero,0.0,25.0,1.5,3.5,0.0,0.0,long,all,1200,-80.0313523144866,0.6337888397518593,36.0,-80.2898708411578,-2.4987783419811676,1.7483333333333333,19968.647685513402,-25.528376826846127
EURUSD,15min+1h_e15_zero_hm25_s2.0_t4.0_both,15min,1h,15.0,zero,0.0,25.0,2.0,4.0,0.0,0.0,both,all,1813,-80.0738499695733,0.6847469394860193,40.31991174848318,-80.3169676856488,-2.5355726820452915,2.0441257584114725,19926.150030426707,-25.403765357493835
EURUSD,15min+1h_e15_zero_hm25_s2.0_t4.0_long,15min,1h,15.0,zero,0.0,25.0,2.0,4.0,0.0,0.0,long,all,1344,-80.05609825364806,0.6101182512679755,35.714285714285715,-80.2124783285919,-2.890819997037861,1.8891369047619047,19943.901746351938,-25.58544743511966
EURUSD,15min+1h_e15_hard_hm0_s1.5_t2.5_both,15min,1h,15.0,hard,0.0,0.0,1.5,2.5,0.0,0.0,both,all,1272,-80.02064803447,0.8430295088998851,32.861635220125784,-83.13370121744941,-1.4746274660109484,9.897012578616351,19979.35196553,-25.118600197827064
EURUSD,15min+1h_e15_hard_hm0_s1.5_t2.5_long,15min,1h,15.0,hard,0.0,0.0,1.5,2.5,0.0,0.0,long,all,1024,-80.16991252938021,0.7896728911077413,31.8359375,-81.91347327316055,-1.6904645371909766,10.427734375,19830.087470619783,-25.209153204332278
EURUSD,15min+1h_e15_hard_hm0_s1.5_t3.5_both,15min,1h,15.0,hard,0.0,0.0,1.5,3.5,0.0,0.0,both,all,1136,-80.08697833523158,0.8178641953962368,26.93661971830986,-82.16271577511395,-1.3195348778024818,13.696302816901408,19913.02166476843,-25.14532727592323
EURUSD,15min+1h_e15_hard_hm0_s1.5_t3.5_long,15min,1h,15.0,hard,0.0,0.0,1.5,3.5,0.0,0.0,long,all,958,-80.03062052574155,0.7831829071348584,25.991649269311065,-81.58991043696918,-1.4840518941758385,14.519832985386222,19969.37947425844,-25.206863970671282
EURUSD,15min+1h_e15_hard_hm0_s2.0_t4.0_both,15min,1h,15.0,hard,0.0,0.0,2.0,4.0,0.0,0.0,both,all,1515,-80.01372476470868,0.8442960975165541,30.42904290429043,-81.16919928745062,-1.26088088546874,19.026402640264028,19986.27523529132,-25.036576718294988
EURUSD,15min+1h_e15_hard_hm0_s2.0_t4.0_long,15min,1h,15.0,hard,0.0,0.0,2.0,4.0,0.0,0.0,long,all,1272,-80.16237331188316,0.8184713565666094,29.952830188679247,-80.75169508262994,-1.4229055591222788,20.62185534591195,19837.626688116845,-25.090384344364
EURUSD,15min+1h_e15_hard_hm12_s1.5_t2.5_both,15min,1h,15.0,hard,0.0,12.0,1.5,2.5,0.0,0.0,both,all,1671,-80.08898029035953,0.8601267078644381,33.871932974266905,-83.32321833757587,-1.202502560765828,12.48294434470377,19911.019709640463,-25.08617117545632
