model,phase,n,accuracy,majority_baseline,edge_vs_majority_pp,no_edge_flag,precision_0,recall_0,precision_1,recall_1,roc_auc,bucket_accuracy_monotonic,up_rate,pred_up_rate,mean_p_up,bucket,bucket_n,bucket_accuracy,bucket_mean_p_up,bucket_actual_up_rate
A_y1,walk_forward_oos,163872,0.5079757371607108,0.5031426967389182,0.4833040421792556,True,0.5071118135124457,0.34680242197958755,0.5084203715685368,0.6671356320723824,0.5117211904905027,True,0.5031426967389182,0.6602104081234134,0.5048504615631018,0.50-0.55,107917,0.5082702447251128,0.5121046177051817,0.5082702447251128
A_y1,walk_forward_oos,163872,0.5079757371607108,0.5031426967389182,0.4833040421792556,True,0.5071118135124457,0.34680242197958755,0.5084203715685368,0.6671356320723824,0.5117211904905027,True,0.5031426967389182,0.6602104081234134,0.5048504615631018,0.55-0.60,273,0.5677655677655677,0.5572725688476384,0.5677655677655677
A_y1,walk_forward_oos,163872,0.5079757371607108,0.5031426967389182,0.4833040421792556,True,0.5071118135124457,0.34680242197958755,0.5084203715685368,0.6671356320723824,0.5117211904905027,True,0.5031426967389182,0.6602104081234134,0.5048504615631018,0.60-0.65,0,,,
A_y1,walk_forward_oos,163872,0.5079757371607108,0.5031426967389182,0.4833040421792556,True,0.5071118135124457,0.34680242197958755,0.5084203715685368,0.6671356320723824,0.5117211904905027,True,0.5031426967389182,0.6602104081234134,0.5048504615631018,0.65+,0,,,
A_y1,holdout_10pct,22315,0.5070132198073045,0.5065650907461349,0.044812906116964424,True,0.5171167099762739,0.4049009200283086,0.5003713606654783,0.6118427027517936,0.5153539843030289,False,0.49343490925386513,0.6033609679587721,0.5028758648659774,0.50-0.55,13462,0.5003714158371713,0.5100694779886089,0.5003714158371713
A_y1,holdout_10pct,22315,0.5070132198073045,0.5065650907461349,0.044812906116964424,True,0.5171167099762739,0.4049009200283086,0.5003713606654783,0.6118427027517936,0.5153539843030289,False,0.49343490925386513,0.6033609679587721,0.5028758648659774,0.55-0.60,2,0.5,0.5550475133464033,0.5
A_y1,holdout_10pct,22315,0.5070132198073045,0.5065650907461349,0.044812906116964424,True,0.5171167099762739,0.4049009200283086,0.5003713606654783,0.6118427027517936,0.5153539843030289,False,0.49343490925386513,0.6033609679587721,0.5028758648659774,0.60-0.65,0,,,
A_y1,holdout_10pct,22315,0.5070132198073045,0.5065650907461349,0.044812906116964424,True,0.5171167099762739,0.4049009200283086,0.5003713606654783,0.6118427027517936,0.5153539843030289,False,0.49343490925386513,0.6033609679587721,0.5028758648659774,0.65+,0,,,
A_y5,walk_forward_oos,163872,0.5164335578988479,0.5045523335286077,1.1881224370240195,True,0.5164829582973536,0.3757112944943959,0.5164057207735829,0.6546164824266467,0.5207965495261326,True,0.5045523335286077,0.6395906561218512,0.5083631080610351,0.50-0.55,96689,0.5142777358334454,0.5201964475955358,0.5142777358334454
A_y5,walk_forward_oos,163872,0.5164335578988479,0.5045523335286077,1.1881224370240195,True,0.5164829582973536,0.3757112944943959,0.5164057207735829,0.6546164824266467,0.5207965495261326,True,0.5045523335286077,0.6395906561218512,0.5083631080610351,0.55-0.60,7964,0.5396785534907081,0.5618011291439361,0.5396785534907081
A_y5,walk_forward_oos,163872,0.5164335578988479,0.5045523335286077,1.1881224370240195,True,0.5164829582973536,0.3757112944943959,0.5164057207735829,0.6546164824266467,0.5207965495261326,True,0.5045523335286077,0.6395906561218512,0.5083631080610351,0.60-0.65,158,0.6455696202531646,0.6107686323150718,0.6455696202531646
A_y5,walk_forward_oos,163872,0.5164335578988479,0.5045523335286077,1.1881224370240195,True,0.5164829582973536,0.3757112944943959,0.5164057207735829,0.6546164824266467,0.5207965495261326,True,0.5045523335286077,0.6395906561218512,0.5083631080610351,0.65+,0,,,
A_y5,holdout_10pct,22315,0.5165583688102173,0.506385839121667,1.0172529688550314,True,0.528438124861142,0.42097345132743363,0.5085255013896192,0.6146164321379937,0.5218354295630656,True,0.493614160878333,0.5965942191351109,0.5048578066527982,0.50-0.55,13219,0.507375747030789,0.5172213099055337,0.507375747030789
A_y5,holdout_10pct,22315,0.5165583688102173,0.506385839121667,1.0172529688550314,True,0.528438124861142,0.42097345132743363,0.5085255013896192,0.6146164321379937,0.5218354295630656,True,0.493614160878333,0.5965942191351109,0.5048578066527982,0.55-0.60,94,0.6702127659574468,0.5556543782108305,0.6702127659574468
A_y5,holdout_10pct,22315,0.5165583688102173,0.506385839121667,1.0172529688550314,True,0.528438124861142,0.42097345132743363,0.5085255013896192,0.6146164321379937,0.5218354295630656,True,0.493614160878333,0.5965942191351109,0.5048578066527982,0.60-0.65,0,,,
A_y5,holdout_10pct,22315,0.5165583688102173,0.506385839121667,1.0172529688550314,True,0.528438124861142,0.42097345132743363,0.5085255013896192,0.6146164321379937,0.5218354295630656,True,0.493614160878333,0.5965942191351109,0.5048578066527982,0.65+,0,,,
B_y1,walk_forward_oos,32803,0.5148919306161022,0.5039782946681706,1.09136359479316,True,0.514297124600639,0.39573474279392784,0.5152590839619385,0.6321679167674813,0.5219189761403168,False,0.5039782946681706,0.6183275919885376,0.5075629266721158,0.50-0.55,17839,0.5121923874656651,0.5202505708850503,0.5121923874656651
